ISO,Country,Variable,Year,wacc,is_solar,is_wind_onshore,is_wind_offshore,Urban_Share,Rule_of_Law,Governance_Index
BEL,Belgium,wacc,2014,0.055,0,1,0,97.91341414,0.985000014305114,0.814377108
BEL,Belgium,wacc,2013,0.055,0,1,0,97.8546928,0.985000014305114,0.835237535
BEL,Belgium,wacc,2015,0.054,0,1,0,97.983884475,0.981999993324279,0.815854543
BEL,Belgium,wacc,2012,0.029,0,1,0,97.79434482,0.985000014305114,0.828530754
BEL,Belgium,wacc,2012,0.0675,0,0,1,97.79434482,0.985000014305114,0.828530754
BEL,Belgium,wacc,2012,0.038,1,0,0,97.79434482,0.985000014305114,0.828530754
BRA,Brazil,wacc,2013,0.048,1,0,0,84.55793265,0.865999996662139,0.538329776
BRA,Brazil,wacc,2014,0.057,1,0,0,84.67636145,0.865999996662139,0.531079665
BRA,Brazil,wacc,2015,0.054,1,0,0,84.90533218499999,0.866999983787536,0.511230893
BGR,Bulgaria,wacc,2014,0.1,0,1,0,73.09816875,0.882000029087066,0.564519618
BGR,Bulgaria,wacc,2013,0.1,0,1,0,72.8738242,0.878000020980835,0.565131472
BGR,Bulgaria,wacc,2015,0.0825,0,1,0,73.49818887,0.868000030517578,0.567032116
BGR,Bulgaria,wacc,2015,0.0825,1,0,0,73.49818887,0.868000030517578,0.567032116
ZAF,South Africa,wacc,2011,0.214,1,0,0,62.2868048,0.90200001001358,0.596356828
CHL,Chile,wacc,2015,0.043,1,0,0,87.980681315,0.953999996185302,0.770000663
CHN,China,wacc,2014,0.0618,0,1,0,50.34624016,0.27700001001358,0.427939487
CHN,China,wacc,2014,0.0834,1,0,0,50.34624016,0.27700001001358,0.427939487
CHN,China,wacc,2015,0.058,0,1,0,51.3829344,0.287999987602233,0.43034185
CHN,China,wacc,2015,0.0932,1,0,0,51.3829344,0.287999987602233,0.43034185
HRV,Croatia,wacc,2014,0.12,0,1,0,56.41271815,0.930000007152557,0.633385538
HRV,Croatia,wacc,2013,0.12,0,1,0,56.11716501,0.93199998140335,0.632034608
HRV,Croatia,wacc,2015,0.0783333333333333,1,0,0,56.82121481,0.930000007152557,0.623789168
HRV,Croatia,wacc,2015,0.0818,0,1,0,56.82121481,0.930000007152557,0.623789168
CYP,Cyprus,wacc,2014,0.1,0,1,0,69.08711304,0.959999978542327,0.750531393
CYP,Cyprus,wacc,2013,0.1,0,1,0,68.82090757,0.959999978542327,0.755902322
CYP,Cyprus,wacc,2015,0.1,0,1,0,69.29429232,0.959999978542327,0.742682515
CYP,Cyprus,wacc,2015,0.1,1,0,0,69.29429232,0.959999978542327,0.742682515
CZE,Czechia,wacc,2014,0.08,0,1,0,74.17988261,0.968999981880188,0.7327772
CZE,Czechia,wacc,2013,0.08,0,1,0,74.00022084,0.970000028610229,0.723179863
CZE,Czechia,wacc,2015,0.08,0,1,0,74.23745786,0.967999994754791,0.739617774
