Scenario,Country,Variable,ISO,Year,Value
Observed,Algeria,Governance Index,DZA,1996,0.300243336
Observed,Algeria,Governance Index,DZA,1998,0.29832807
Observed,Algeria,Governance Index,DZA,2000,0.310592289
Observed,Algeria,Governance Index,DZA,2002,0.34642259
Observed,Algeria,Governance Index,DZA,2003,0.351621802
Observed,Algeria,Governance Index,DZA,2004,0.374934986
Observed,Algeria,Governance Index,DZA,2005,0.404460474
Observed,Algeria,Governance Index,DZA,2006,0.383069471
Observed,Algeria,Governance Index,DZA,2007,0.37102836
Observed,Algeria,Governance Index,DZA,2008,0.364775114
Observed,Algeria,Governance Index,DZA,2009,0.349932297
Observed,Algeria,Governance Index,DZA,2010,0.351161746
Observed,Algeria,Governance Index,DZA,2011,0.343628412
Observed,Algeria,Governance Index,DZA,2012,0.349694499
Observed,Algeria,Governance Index,DZA,2013,0.361862217
Observed,Algeria,Governance Index,DZA,2014,0.35551927
Observed,Algeria,Governance Index,DZA,2015,0.354894291
Observed,Algeria,Governance Index|Control of Corruption,DZA,1996,0.300083408
Observed,Algeria,Governance Index|Control of Corruption,DZA,1998,0.227472213
Observed,Algeria,Governance Index|Control of Corruption,DZA,2000,0.214534804
Observed,Algeria,Governance Index|Control of Corruption,DZA,2002,0.228877791
Observed,Algeria,Governance Index|Control of Corruption,DZA,2003,0.271153064
Observed,Algeria,Governance Index|Control of Corruption,DZA,2004,0.274099374
Observed,Algeria,Governance Index|Control of Corruption,DZA,2005,0.31957515
Observed,Algeria,Governance Index|Control of Corruption,DZA,2006,0.310548698
Observed,Algeria,Governance Index|Control of Corruption,DZA,2007,0.30165347
Observed,Algeria,Governance Index|Control of Corruption,DZA,2008,0.293669408
Observed,Algeria,Governance Index|Control of Corruption,DZA,2009,0.297515247
Observed,Algeria,Governance Index|Control of Corruption,DZA,2010,0.309738616
Observed,Algeria,Governance Index|Control of Corruption,DZA,2011,0.305190029
Observed,Algeria,Governance Index|Control of Corruption,DZA,2012,0.314724494
Observed,Algeria,Governance Index|Control of Corruption,DZA,2013,0.321577564
Observed,Algeria,Governance Index|Control of Corruption,DZA,2014,0.292411059
Observed,Algeria,Governance Index|Control of Corruption,DZA,2015,0.277925033
Observed,Algeria,Governance Index|Government Effectiveness,DZA,1996,0.282711219
Observed,Algeria,Governance Index|Government Effectiveness,DZA,1998,0.335558635
Observed,Algeria,Governance Index|Government Effectiveness,DZA,2000,0.308126484
Observed,Algeria,Governance Index|Government Effectiveness,DZA,2002,0.382652111
Observed,Algeria,Governance Index|Government Effectiveness,DZA,2003,0.379630342
Observed,Algeria,Governance Index|Government Effectiveness,DZA,2004,0.387715612
Observed,Algeria,Governance Index|Government Effectiveness,DZA,2005,0.409090037
Observed,Algeria,Governance Index|Government Effectiveness,DZA,2006,0.408057815
Observed,Algeria,Governance Index|Government Effectiveness,DZA,2007,0.389120453
Observed,Algeria,Governance Index|Government Effectiveness,DZA,2008,0.376750849
Observed,Algeria,Governance Index|Government Effectiveness,DZA,2009,0.385618888
Observed,Algeria,Governance Index|Government Effectiveness,DZA,2010,0.406653986
Observed,Algeria,Governance Index|Government Effectiveness,DZA,2011,0.389346266
Observed,Algeria,Governance Index|Government Effectiveness,DZA,2012,0.395916747
Observed,Algeria,Governance Index|Government Effectiveness,DZA,2013,0.395535137
Observed,Algeria,Governance Index|Government Effectiveness,DZA,2014,0.407058576
Observed,Algeria,Governance Index|Government Effectiveness,DZA,2015,0.402426076
Observed,Argentina,Governance Index,ARG,1996,0.577774731
Observed,Argentina,Governance Index,ARG,1998,0.572275187
Observed,Argentina,Governance Index,ARG,2000,0.553555073
Observed,Argentina,Governance Index,ARG,2002,0.436705483
Observed,Argentina,Governance Index,ARG,2003,0.467683065
Observed,Argentina,Governance Index,ARG,2004,0.460625321
Observed,Argentina,Governance Index,ARG,2005,0.488522857
Observed,Argentina,Governance Index,ARG,2006,0.496205436
Observed,Argentina,Governance Index,ARG,2007,0.500359071
Observed,Argentina,Governance Index,ARG,2008,0.477452046
Observed,Argentina,Governance Index,ARG,2009,0.459823962
Observed,Argentina,Governance Index,ARG,2010,0.482088167
Observed,Argentina,Governance Index,ARG,2011,0.492787153
Observed,Argentina,Governance Index,ARG,2012,0.470791194
Observed,Argentina,Governance Index,ARG,2013,0.466013709
Observed,Argentina,Governance Index,ARG,2014,0.456082697
Observed,Argentina,Governance Index,ARG,2015,0.471661515
Observed,Argentina,Governance Index|Control of Corruption,ARG,1996,0.407355917
Observed,Argentina,Governance Index|Control of Corruption,ARG,1998,0.40456545
Observed,Argentina,Governance Index|Control of Corruption,ARG,2000,0.386427642
Observed,Argentina,Governance Index|Control of Corruption,ARG,2002,0.322792893
Observed,Argentina,Governance Index|Control of Corruption,ARG,2003,0.32045921
Observed,Argentina,Governance Index|Control of Corruption,ARG,2004,0.332754352
Observed,Argentina,Governance Index|Control of Corruption,ARG,2005,0.341235898
Observed,Argentina,Governance Index|Control of Corruption,ARG,2006,0.352054498
Observed,Argentina,Governance Index|Control of Corruption,ARG,2007,0.352276235
Observed,Argentina,Governance Index|Control of Corruption,ARG,2008,0.330314641
Observed,Argentina,Governance Index|Control of Corruption,ARG,2009,0.328143594
Observed,Argentina,Governance Index|Control of Corruption,ARG,2010,0.347395149
Observed,Argentina,Governance Index|Control of Corruption,ARG,2011,0.346314493
Observed,Argentina,Governance Index|Control of Corruption,ARG,2012,0.32857142
Observed,Argentina,Governance Index|Control of Corruption,ARG,2013,0.331073975
Observed,Argentina,Governance Index|Control of Corruption,ARG,2014,0.305873337
Observed,Argentina,Governance Index|Control of Corruption,ARG,2015,0.304622956
Observed,Argentina,Governance Index|Government Effectiveness,ARG,1996,0.537922098
Observed,Argentina,Governance Index|Government Effectiveness,ARG,1998,0.580806953
Observed,Argentina,Governance Index|Government Effectiveness,ARG,2000,0.510759779
Observed,Argentina,Governance Index|Government Effectiveness,ARG,2002,0.447176709
Observed,Argentina,Governance Index|Government Effectiveness,ARG,2003,0.494562536
Observed,Argentina,Governance Index|Government Effectiveness,ARG,2004,0.492501506
Observed,Argentina,Governance Index|Government Effectiveness,ARG,2005,0.47894293
Observed,Argentina,Governance Index|Government Effectiveness,ARG,2006,0.494956017
Observed,Argentina,Governance Index|Government Effectiveness,ARG,2007,0.500966814
Observed,Argentina,Governance Index|Government Effectiveness,ARG,2008,0.474345652
Observed,Argentina,Governance Index|Government Effectiveness,ARG,2009,0.439464676
Observed,Argentina,Governance Index|Government Effectiveness,ARG,2010,0.471095004
Observed,Argentina,Governance Index|Government Effectiveness,ARG,2011,0.479788928
Observed,Argentina,Governance Index|Government Effectiveness,ARG,2012,0.455677003
Observed,Argentina,Governance Index|Government Effectiveness,ARG,2013,0.447748069
Observed,Argentina,Governance Index|Government Effectiveness,ARG,2014,0.471838539
Observed,Argentina,Governance Index|Government Effectiveness,ARG,2015,0.488974983
Observed,Armenia,Governance Index,ARM,1996,0.444439443
Observed,Armenia,Governance Index,ARM,1998,0.43757223
Observed,Armenia,Governance Index,ARM,2000,0.43200719
Observed,Armenia,Governance Index,ARM,2002,0.464777406
Observed,Armenia,Governance Index,ARM,2003,0.49410088
Observed,Armenia,Governance Index,ARM,2004,0.472306776
Observed,Armenia,Governance Index,ARM,2005,0.468265975
Observed,Armenia,Governance Index,ARM,2006,0.453889435
Observed,Armenia,Governance Index,ARM,2007,0.460643143
Observed,Armenia,Governance Index,ARM,2008,0.467657959
Observed,Armenia,Governance Index,ARM,2009,0.47641518
Observed,Armenia,Governance Index,ARM,2010,0.464495682
Observed,Armenia,Governance Index,ARM,2011,0.470393044
Observed,Armenia,Governance Index,ARM,2012,0.49116449
Observed,Armenia,Governance Index,ARM,2013,0.4942939
Observed,Armenia,Governance Index,ARM,2014,0.471631932
Observed,Armenia,Governance Index,ARM,2015,0.475168078
Observed,Armenia,Governance Index|Control of Corruption,ARM,1996,0.321677321
Observed,Armenia,Governance Index|Control of Corruption,ARM,1998,0.232218804
Observed,Armenia,Governance Index|Control of Corruption,ARM,2000,0.255647495
Observed,Armenia,Governance Index|Control of Corruption,ARM,2002,0.258646393
Observed,Armenia,Governance Index|Control of Corruption,ARM,2003,0.299325654
Observed,Armenia,Governance Index|Control of Corruption,ARM,2004,0.290001557
Observed,Armenia,Governance Index|Control of Corruption,ARM,2005,0.275329396
Observed,Armenia,Governance Index|Control of Corruption,ARM,2006,0.276094322
Observed,Armenia,Governance Index|Control of Corruption,ARM,2007,0.25960049
Observed,Armenia,Governance Index|Control of Corruption,ARM,2008,0.267503031
Observed,Armenia,Governance Index|Control of Corruption,ARM,2009,0.287863914
Observed,Armenia,Governance Index|Control of Corruption,ARM,2010,0.27022121
Observed,Armenia,Governance Index|Control of Corruption,ARM,2011,0.27930668
Observed,Armenia,Governance Index|Control of Corruption,ARM,2012,0.295232546
Observed,Armenia,Governance Index|Control of Corruption,ARM,2013,0.308102804
Observed,Armenia,Governance Index|Control of Corruption,ARM,2014,0.309934834
Observed,Armenia,Governance Index|Control of Corruption,ARM,2015,0.307673166
Observed,Armenia,Governance Index|Government Effectiveness,ARM,1996,0.426790233
Observed,Armenia,Governance Index|Government Effectiveness,ARM,1998,0.407494148
Observed,Armenia,Governance Index|Government Effectiveness,ARM,2000,0.399287095
Observed,Armenia,Governance Index|Government Effectiveness,ARM,2002,0.485618489
Observed,Armenia,Governance Index|Government Effectiveness,ARM,2003,0.472415211
Observed,Armenia,Governance Index|Government Effectiveness,ARM,2004,0.485447681
