Scenario,ISO,Country,Variable,Year,Value
Baseline,ARG,Argentina,unemployment,Year,2022
Baseline,ARG,Argentina,inflation,Year,2022
Baseline,AUS,Australia,unemployment,Year,2022
Baseline,AUS,Australia,inflation,Year,2022
Baseline,AUT,Austria,unemployment,Year,2022
Baseline,AUT,Austria,inflation,Year,2022
Baseline,BEL,Belgium,unemployment,Year,2022
Baseline,BEL,Belgium,inflation,Year,2022
Baseline,BRA,Brazil,unemployment,Year,2022
Baseline,BRA,Brazil,inflation,Year,2022
Baseline,BGR,Bulgaria,unemployment,Year,2022
Baseline,BGR,Bulgaria,inflation,Year,2022
Baseline,CAN,Canada,unemployment,Year,2022
Baseline,CAN,Canada,inflation,Year,2022
Baseline,CHL,Chile,unemployment,Year,2022
Baseline,CHL,Chile,inflation,Year,2022
Baseline,CHN,China,unemployment,Year,2022
Baseline,CHN,China,inflation,Year,2022
Baseline,HRV,Croatia,unemployment,Year,2022
Baseline,HRV,Croatia,inflation,Year,2022
Baseline,CZE,Czech Republic,unemployment,Year,2022
Baseline,CZE,Czech Republic,inflation,Year,2022
Baseline,DNK,Denmark,unemployment,Year,2022
Baseline,DNK,Denmark,inflation,Year,2022
Baseline,EGY,Egypt,unemployment,Year,2022
Baseline,EGY,Egypt,inflation,Year,2022
Baseline,EST,Estonia,unemployment,Year,2022
Baseline,EST,Estonia,inflation,Year,2022
Baseline,FIN,Finland,unemployment,Year,2022
Baseline,FIN,Finland,inflation,Year,2022
Baseline,FRA,France,unemployment,Year,2022
Baseline,FRA,France,inflation,Year,2022
Baseline,DEU,Germany,unemployment,Year,2022
Baseline,DEU,Germany,inflation,Year,2022
Baseline,GRC,Greece,unemployment,Year,2022
Baseline,GRC,Greece,inflation,Year,2022
Baseline,HKG,Hong Kong,unemployment,Year,2022
Baseline,HKG,Hong Kong,inflation,Year,2022
Baseline,HUN,Hungary,unemployment,Year,2022
Baseline,HUN,Hungary,inflation,Year,2022
Baseline,IND,India,unemployment,Year,2022
Baseline,IND,India,inflation,Year,2022
Baseline,IDN,Indonesia,unemployment,Year,2022
Baseline,IDN,Indonesia,inflation,Year,2022
Baseline,IRL,Ireland,unemployment,Year,2022
Baseline,IRL,Ireland,inflation,Year,2022
Baseline,ITA,Italy,unemployment,Year,2022
Baseline,ITA,Italy,inflation,Year,2022
Baseline,JPN,Japan,unemployment,Year,2022
Baseline,JPN,Japan,inflation,Year,2022
Baseline,LVA,Latvia,unemployment,Year,2022
Baseline,LVA,Latvia,inflation,Year,2022
Baseline,LTU,Lithuania,unemployment,Year,2022
Baseline,LTU,Lithuania,inflation,Year,2022
Baseline,MYS,Malaysia,unemployment,Year,2022
Baseline,MYS,Malaysia,inflation,Year,2022
Baseline,MEX,Mexico,unemployment,Year,2022
Baseline,MEX,Mexico,inflation,Year,2022
Baseline,NLD,Netherlands,unemployment,Year,2022
Baseline,NLD,Netherlands,inflation,Year,2022
Baseline,NZL,New Zealand,unemployment,Year,2022
Baseline,NZL,New Zealand,inflation,Year,2022
Baseline,NOR,Norway,unemployment,Year,2022
Baseline,NOR,Norway,inflation,Year,2022
Baseline,POL,Poland,unemployment,Year,2022
Baseline,POL,Poland,inflation,Year,2022
Baseline,PRT,Portugal,unemployment,Year,2022
Baseline,PRT,Portugal,inflation,Year,2022
Baseline,ROU,Romania,unemployment,Year,2022
Baseline,ROU,Romania,inflation,Year,2022
Baseline,RUS,Russia,unemployment,Year,2022
Baseline,RUS,Russia,inflation,Year,2022
Baseline,SGP,Singapore,unemployment,Year,2022
Baseline,SGP,Singapore,inflation,Year,2022
Baseline,SVK,Slovakia,unemployment,Year,2022
Baseline,SVK,Slovakia,inflation,Year,2022
Baseline,SVN,Slovenia,unemployment,Year,2022
Baseline,SVN,Slovenia,inflation,Year,2022
Baseline,ZAF,South Africa,unemployment,Year,2022
Baseline,ZAF,South Africa,inflation,Year,2022
Baseline,KOR,South Korea,unemployment,Year,2022
Baseline,KOR,South Korea,inflation,Year,2022
Baseline,ESP,Spain,unemployment,Year,2022
Baseline,ESP,Spain,inflation,Year,2022
Baseline,SWE,Sweden,unemployment,Year,2022
Baseline,SWE,Sweden,inflation,Year,2022
Baseline,CHE,Switzerland,unemployment,Year,2022
Baseline,CHE,Switzerland,inflation,Year,2022
Baseline,TWN,Taiwan,unemployment,Year,2022
Baseline,TWN,Taiwan,inflation,Year,2022
Baseline,GBR,United Kingdom,unemployment,Year,2022
Baseline,GBR,United Kingdom,inflation,Year,2022
Baseline,USA,United States,unemployment,Year,2022
Baseline,USA,United States,inflation,Year,2022
Baseline,VNM,Viet Nam,unemployment,Year,2022
Baseline,VNM,Viet Nam,inflation,Year,2022
Below2,ARG,Argentina,unemployment,Year,2022
Below2,ARG,Argentina,inflation,Year,2022
Below2,AUS,Australia,unemployment,Year,2022
Below2,AUS,Australia,inflation,Year,2022
Below2,AUT,Austria,unemployment,Year,2022
Below2,AUT,Austria,inflation,Year,2022
Below2,BEL,Belgium,unemployment,Year,2022
Below2,BEL,Belgium,inflation,Year,2022
Below2,BRA,Brazil,unemployment,Year,2022
Below2,BRA,Brazil,inflation,Year,2022
Below2,BGR,Bulgaria,unemployment,Year,2022
Below2,BGR,Bulgaria,inflation,Year,2022
Below2,CAN,Canada,unemployment,Year,2022
Below2,CAN,Canada,inflation,Year,2022
Below2,CHL,Chile,unemployment,Year,2022
Below2,CHL,Chile,inflation,Year,2022
Below2,CHN,China,unemployment,Year,2022
Below2,CHN,China,inflation,Year,2022
Below2,HRV,Croatia,unemployment,Year,2022
Below2,HRV,Croatia,inflation,Year,2022
Below2,CZE,Czech Republic,unemployment,Year,2022
Below2,CZE,Czech Republic,inflation,Year,2022
Below2,DNK,Denmark,unemployment,Year,2022
Below2,DNK,Denmark,inflation,Year,2022
Below2,EGY,Egypt,unemployment,Year,2022
Below2,EGY,Egypt,inflation,Year,2022
Below2,EST,Estonia,unemployment,Year,2022
Below2,EST,Estonia,inflation,Year,2022
Below2,FIN,Finland,unemployment,Year,2022
Below2,FIN,Finland,inflation,Year,2022
Below2,FRA,France,unemployment,Year,2022
Below2,FRA,France,inflation,Year,2022
Below2,DEU,Germany,unemployment,Year,2022
Below2,DEU,Germany,inflation,Year,2022
Below2,GRC,Greece,unemployment,Year,2022
Below2,GRC,Greece,inflation,Year,2022
Below2,HKG,Hong Kong,unemployment,Year,2022
Below2,HKG,Hong Kong,inflation,Year,2022
Below2,HUN,Hungary,unemployment,Year,2022
Below2,HUN,Hungary,inflation,Year,2022
Below2,IND,India,unemployment,Year,2022
Below2,IND,India,inflation,Year,2022
