country,technology,year,wacc,ISO,inflation,gdp,interest_rate,unemployment,population
Argentine Republic,solar pv,2023,0.4252549999999999,ARG,135.368876310592,12933.2497342121,-16.7714229097284,6.139,45538401.0
Argentine Republic,wind onshore,2020,0.09300000000000001,ARG,40.0830878011993,11393.0505957877,-7.63517421630372,11.461,45191965.0
Commonwealth of Australia,solar pv,2023,0.05049,AUS,6.51199894950456,61583.9188935304,,3.668,26658948.0
Commonwealth of Australia,wind onshore,2020,0.05459363,AUS,1.88550119010648,58132.798523626,,6.456,25649248.0
Commonwealth of Australia,solar pv,2020,0.04583333333333333,AUS,1.88550119010648,58132.798523626,,6.456,25649248.0
Republic of Austria,wind onshore,2014,0.065,AUT,2.00674390270015,43838.8346845363,,5.674,8546356.0
Republic of Austria,wind onshore,2019,0.04385,AUT,1.47368476959242,46550.5623430785,,4.56,8879920.0
Republic of Austria,wind onshore,2018,0.06136666666666666,AUT,1.81048023343624,45951.5818951582,,4.933,8840521.0
Republic of Austria,wind onshore,2013,0.065,AUT,1.70872300692841,43851.3675464788,,5.367,8479823.0
Republic of Austria,wind onshore,2015,0.0625,AUT,2.29263492397251,43915.228020857,,5.802,8642699.0
Republic of Austria,solar pv,2015,0.04,AUT,2.29263492397251,43915.228020857,,5.802,8642699.0
Republic of Austria,solar pv,2020,0.0611,AUT,2.59313274910787,43428.6983141255,,5.201,8916864.0
Republic of Tunisia,solar pv,2023,0.343475,TUN,8.88763642233521,3958.56222854122,,15.106,12200431.0
People's Republic of Bangladesh,solar pv,2023,0.170225,BGD,6.89712404003441,1885.37733613545,0.629461237622801,4.454,171466990.0
Kingdom of Belgium,wind onshore,2014,0.055,BEL,0.840395739536802,40533.9134833922,,8.523,11209057.0
Kingdom of Belgium,wind onshore,2019,0.03716666666666667,BEL,1.85424074414335,43006.4042605622,,5.364,11488980.0
Kingdom of Belgium,wind offshore,2019,0.03875,BEL,1.85424074414335,43006.4042605622,,5.364,11488980.0
Kingdom of Belgium,wind onshore,2013,0.055,BEL,1.41248972600334,40007.8997697861,,8.425,11159407.0
