Model,Scenario,ISO,Variable,Year,Value
Remind-Magpie_damages,Below 2C,AGO,Population,2025,38.9301
Remind-Magpie_damages,Below 2C,AGO,GDP_damage,2025,198.111813387086
Remind-Magpie_damages,Below 2C,ALB,Population,2025,2.8071
Remind-Magpie_damages,Below 2C,ALB,GDP_damage,2025,43.6805271070318
Remind-Magpie_damages,Below 2C,ARE,Population,2025,9.8912
Remind-Magpie_damages,Below 2C,ARE,GDP_damage,2025,668.574554625184
Remind-Magpie_damages,Below 2C,ARG,Population,2025,46.4636
Remind-Magpie_damages,Below 2C,ARG,GDP_damage,2025,815.27262798096
Remind-Magpie_damages,Below 2C,ARM,Population,2025,2.7923
Remind-Magpie_damages,Below 2C,ARM,GDP_damage,2025,49.3026888294782
Remind-Magpie_damages,Below 2C,AUS,Population,2025,27.1235
Remind-Magpie_damages,Below 2C,AUS,GDP_damage,2025,1257.03032474621
Remind-Magpie_damages,Below 2C,AUT,Population,2025,8.9933
Remind-Magpie_damages,Below 2C,AUT,GDP_damage,2025,454.425406198935
Remind-Magpie_damages,Below 2C,AZE,Population,2025,10.6074
Remind-Magpie_damages,Below 2C,AZE,GDP_damage,2025,154.465488518213
Remind-Magpie_damages,Below 2C,BEL,Population,2025,11.6265
Remind-Magpie_damages,Below 2C,BEL,GDP_damage,2025,567.558857150411
Remind-Magpie_damages,Below 2C,BEN,Population,2025,14.495
Remind-Magpie_damages,Below 2C,BEN,GDP_damage,2025,47.5213299546944
Remind-Magpie_damages,Below 2C,BGD,Population,2025,182.5643
Remind-Magpie_damages,Below 2C,BGD,GDP_damage,2025,1197.27637170991
Remind-Magpie_damages,Below 2C,BGR,Population,2025,6.64
Remind-Magpie_damages,Below 2C,BGR,GDP_damage,2025,175.221441770441
Remind-Magpie_damages,Below 2C,BHR,Population,2025,1.6406
Remind-Magpie_damages,Below 2C,BHR,GDP_damage,2025,70.7460716206967
Remind-Magpie_damages,Below 2C,BIH,Population,2025,3.197
Remind-Magpie_damages,Below 2C,BIH,GDP_damage,2025,52.9075803906215
Remind-Magpie_damages,Below 2C,BLR,Population,2025,9.4968
Remind-Magpie_damages,Below 2C,BLR,GDP_damage,2025,175.973390907753
Remind-Magpie_damages,Below 2C,BOL,Population,2025,12.7343
Remind-Magpie_damages,Below 2C,BOL,GDP_damage,2025,99.1999445503335
Remind-Magpie_damages,Below 2C,BRA,Population,2025,219.5342
Remind-Magpie_damages,Below 2C,BRA,GDP_damage,2025,3174.19399494992
Remind-Magpie_damages,Below 2C,BRN,Population,2025,0.4798
Remind-Magpie_damages,Below 2C,BRN,GDP_damage,2025,24.2529940450202
Remind-Magpie_damages,Below 2C,BWA,Population,2025,2.774
Remind-Magpie_damages,Below 2C,BWA,GDP_damage,2025,39.8082328139016
Remind-Magpie_damages,Below 2C,CAN,Population,2025,39.4538
Remind-Magpie_damages,Below 2C,CAN,GDP_damage,2025,1764.78008408576
Remind-Magpie_damages,Below 2C,CHE,Population,2025,8.8939
Remind-Magpie_damages,Below 2C,CHE,GDP_damage,2025,571.772410206381
Remind-Magpie_damages,Below 2C,CHL,Population,2025,19.7585
Remind-Magpie_damages,Below 2C,CHL,GDP_damage,2025,466.447965985021
Remind-Magpie_damages,Below 2C,CHN,Population,2025,1411.3712
Remind-Magpie_damages,Below 2C,CHN,GDP_damage,2025,25212.5251743484
Remind-Magpie_damages,Below 2C,CIV,Population,2025,30.2047
Remind-Magpie_damages,Below 2C,CIV,GDP_damage,2025,163.606793159651
Remind-Magpie_damages,Below 2C,CMR,Population,2025,30.0657
Remind-Magpie_damages,Below 2C,CMR,GDP_damage,2025,103.498790088774
Remind-Magpie_damages,Below 2C,COD,Population,2025,109.1461
Remind-Magpie_damages,Below 2C,COD,GDP_damage,2025,118.621374510857
Remind-Magpie_damages,Below 2C,COG,Population,2025,6.4375
Remind-Magpie_damages,Below 2C,COG,GDP_damage,2025,21.5076059641606
Remind-Magpie_damages,Below 2C,COL,Population,2025,52.8939
Remind-Magpie_damages,Below 2C,COL,GDP_damage,2025,745.17853029011
Remind-Magpie_damages,Below 2C,CRI,Population,2025,5.3043
Remind-Magpie_damages,Below 2C,CRI,GDP_damage,2025,110.791796526731
Remind-Magpie_damages,Below 2C,CUB,Population,2025,11.3122
Remind-Magpie_damages,Below 2C,CUB,GDP_damage,2025,77.4469592381424
Remind-Magpie_damages,Below 2C,CYP,Population,2025,1.2774
Remind-Magpie_damages,Below 2C,CYP,GDP_damage,2025,39.7145600413217
Remind-Magpie_damages,Below 2C,CZE,Population,2025,10.789
Remind-Magpie_damages,Below 2C,CZE,GDP_damage,2025,397.464416469597
Remind-Magpie_damages,Below 2C,DEU,Population,2025,83.1263
Remind-Magpie_damages,Below 2C,DEU,GDP_damage,2025,4006.34817557192
Remind-Magpie_damages,Below 2C,DNK,Population,2025,5.8698
Remind-Magpie_damages,Below 2C,DNK,GDP_damage,2025,321.076153394981
Remind-Magpie_damages,Below 2C,DOM,Population,2025,11.6414
Remind-Magpie_damages,Below 2C,DOM,GDP_damage,2025,231.551079425021
Remind-Magpie_damages,Below 2C,DZA,Population,2025,47.2069
Remind-Magpie_damages,Below 2C,DZA,GDP_damage,2025,465.889126229856
Remind-Magpie_damages,Below 2C,ECU,Population,2025,18.5805
Remind-Magpie_damages,Below 2C,ECU,GDP_damage,2025,193.126765242888
Remind-Magpie_damages,Below 2C,EGY,Population,2025,117.1798
Remind-Magpie_damages,Below 2C,EGY,GDP_damage,2025,1372.98795578479
Remind-Magpie_damages,Below 2C,ERI,Population,2025,3.9134
Remind-Magpie_damages,Below 2C,ERI,GDP_damage,2025,6.09915693431626
Remind-Magpie_damages,Below 2C,ESP,Population,2025,47.3281
Remind-Magpie_damages,Below 2C,ESP,GDP_damage,2025,1762.43847419079
Remind-Magpie_damages,Below 2C,EST,Population,2025,1.34
Remind-Magpie_damages,Below 2C,EST,GDP_damage,2025,45.7088392595001
Remind-Magpie_damages,Below 2C,ETH,Population,2025,132.7986
Remind-Magpie_damages,Below 2C,ETH,GDP_damage,2025,316.76772615949
Remind-Magpie_damages,Below 2C,EU27,Population,2025,443.6964
Remind-Magpie_damages,Below 2C,FIN,Population,2025,5.5051
Remind-Magpie_damages,Below 2C,FIN,GDP_damage,2025,254.916470638862
Remind-Magpie_damages,Below 2C,FRA,Population,2025,64.7393
Remind-Magpie_damages,Below 2C,FRA,GDP_damage,2025,2817.84987830211
Remind-Magpie_damages,Below 2C,GAB,Population,2025,2.5495
Remind-Magpie_damages,Below 2C,GAB,GDP_damage,2025,31.399636811172
Remind-Magpie_damages,Below 2C,GBR,Population,2025,67.4562
Remind-Magpie_damages,Below 2C,GBR,GDP_damage,2025,2921.12808396673
Remind-Magpie_damages,Below 2C,GEO,Population,2025,3.6618
Remind-Magpie_damages,Below 2C,GEO,GDP_damage,2025,69.7237305989724
Remind-Magpie_damages,Below 2C,GHA,Population,2025,35.8141
Remind-Magpie_damages,Below 2C,GHA,GDP_damage,2025,173.984876576395
Remind-Magpie_damages,Below 2C,GRC,Population,2025,10.3055
Remind-Magpie_damages,Below 2C,GRC,GDP_damage,2025,312.762267225783
Remind-Magpie_damages,Below 2C,GTM,Population,2025,18.7583
Remind-Magpie_damages,Below 2C,GTM,GDP_damage,2025,165.109348518328
Remind-Magpie_damages,Below 2C,HKG,Population,2025,7.4569
Remind-Magpie_damages,Below 2C,HKG,GDP_damage,2025,394.592289476306
Remind-Magpie_damages,Below 2C,HND,Population,2025,10.9255
Remind-Magpie_damages,Below 2C,HND,GDP_damage,2025,61.1452830266728
Remind-Magpie_damages,Below 2C,HRV,Population,2025,3.9577
Remind-Magpie_damages,Below 2C,HRV,GDP_damage,2025,131.852018123305
Remind-Magpie_damages,Below 2C,HTI,Population,2025,12.1265
Remind-Magpie_damages,Below 2C,HTI,GDP_damage,2025,30.6265562533259
Remind-Magpie_damages,Below 2C,HUN,Population,2025,9.5376
Remind-Magpie_damages,Below 2C,HUN,GDP_damage,2025,323.404672491077
Remind-Magpie_damages,Below 2C,IDN,Population,2025,291.944
Remind-Magpie_damages,Below 2C,IDN,GDP_damage,2025,3489.02457885733
Remind-Magpie_damages,Below 2C,IND,Population,2025,1454.6067
Remind-Magpie_damages,Below 2C,IND,GDP_damage,2025,10627.79739583
Remind-Magpie_damages,Below 2C,IRL,Population,2025,5.0954
Remind-Magpie_damages,Below 2C,IRL,GDP_damage,2025,550.896471667399
Remind-Magpie_damages,Below 2C,IRN,Population,2025,91.6111
Remind-Magpie_damages,Below 2C,IRN,GDP_damage,2025,1259.73324969543
Remind-Magpie_damages,Below 2C,IRQ,Population,2025,47.5016
Remind-Magpie_damages,Below 2C,IRQ,GDP_damage,2025,375.169270343033
Remind-Magpie_damages,Below 2C,ISL,Population,2025,0.3785
Remind-Magpie_damages,Below 2C,ISL,GDP_damage,2025,20.3738661370049
Remind-Magpie_damages,Below 2C,ISR,Population,2025,9.4666
Remind-Magpie_damages,Below 2C,ISR,GDP_damage,2025,376.103416922375
Remind-Magpie_damages,Below 2C,ITA,Population,2025,58.5938
Remind-Magpie_damages,Below 2C,ITA,GDP_damage,2025,2283.64381319387
Remind-Magpie_damages,Below 2C,JAM,Population,2025,2.8608
Remind-Magpie_damages,Below 2C,JAM,GDP_damage,2025,28.2804709639444
Remind-Magpie_damages,Below 2C,JOR,Population,2025,12.0129
Remind-Magpie_damages,Below 2C,JOR,GDP_damage,2025,97.3802097154306
Remind-Magpie_damages,Below 2C,JPN,Population,2025,122.9555
Remind-Magpie_damages,Below 2C,JPN,GDP_damage,2025,4803.49036491519
Remind-Magpie_damages,Below 2C,KAZ,Population,2025,20.0076
Remind-Magpie_damages,Below 2C,KAZ,GDP_damage,2025,554.207615000637
Remind-Magpie_damages,Below 2C,KEN,Population,2025,57.6787
Remind-Magpie_damages,Below 2C,KEN,GDP_damage,2025,269.503514516996
Remind-Magpie_damages,Below 2C,KGZ,Population,2025,6.9731
Remind-Magpie_damages,Below 2C,KGZ,GDP_damage,2025,37.5803436754974
Remind-Magpie_damages,Below 2C,KHM,Population,2025,17.9939
Remind-Magpie_damages,Below 2C,KHM,GDP_damage,2025,78.8163261084903
Remind-Magpie_damages,Below 2C,KOR,Population,2025,53.5647
Remind-Magpie_damages,Below 2C,KOR,GDP_damage,2025,2141.72538816622
Remind-Magpie_damages,Below 2C,KWT,Population,2025,4.7835
Remind-Magpie_damages,Below 2C,KWT,GDP_damage,2025,189.732284141601
Remind-Magpie_damages,Below 2C,LBN,Population,2025,5.9996
Remind-Magpie_damages,Below 2C,LBN,GDP_damage,2025,60.037626533688
Remind-Magpie_damages,Below 2C,LBY,Population,2025,7.1133
Remind-Magpie_damages,Below 2C,LBY,GDP_damage,2025,133.875017644991
Remind-Magpie_damages,Below 2C,LKA,Population,2025,23.115
Remind-Magpie_damages,Below 2C,LKA,GDP_damage,2025,238.657143827861
Remind-Magpie_damages,Below 2C,LTU,Population,2025,2.7097
Remind-Magpie_damages,Below 2C,LTU,GDP_damage,2025,104.886403298462
Remind-Magpie_damages,Below 2C,LUX,Population,2025,0.6515
Remind-Magpie_damages,Below 2C,LUX,GDP_damage,2025,71.2364534404609
Remind-Magpie_damages,Below 2C,LVA,Population,2025,1.8258
Remind-Magpie_damages,Below 2C,LVA,GDP_damage,2025,57.7409098866271
Remind-Magpie_damages,Below 2C,MAR,Population,2025,38.7974
Remind-Magpie_damages,Below 2C,MAR,GDP_damage,2025,288.697517668822
Remind-Magpie_damages,Below 2C,MDA,Population,2025,3.0878
Remind-Magpie_damages,Below 2C,MDA,GDP_damage,2025,35.6230260224663
Remind-Magpie_damages,Below 2C,MEX,Population,2025,131.5929
Remind-Magpie_damages,Below 2C,MEX,GDP_damage,2025,2479.0240513827
Remind-Magpie_damages,Below 2C,MKD,Population,2025,2.106
Remind-Magpie_damages,Below 2C,MKD,GDP_damage,2025,34.5195149874014
Remind-Magpie_damages,Below 2C,MLI,Population,2025,24.7237
Remind-Magpie_damages,Below 2C,MLI,GDP_damage,2025,47.891048647882
Remind-Magpie_damages,Below 2C,MLT,Population,2025,0.5144
Remind-Magpie_damages,Below 2C,MLT,GDP_damage,2025,26.92785249361
Remind-Magpie_damages,Below 2C,MMR,Population,2025,57.1537
Remind-Magpie_damages,Below 2C,MMR,GDP_damage,2025,207.254777055173
Remind-Magpie_damages,Below 2C,MNE,Population,2025,0.6519
Remind-Magpie_damages,Below 2C,MNE,GDP_damage,2025,13.7371797176959
Remind-Magpie_damages,Below 2C,MNG,Population,2025,3.6482
Remind-Magpie_damages,Below 2C,MNG,GDP_damage,2025,42.1729923310153
Remind-Magpie_damages,Below 2C,MOZ,Population,2025,35.5636
Remind-Magpie_damages,Below 2C,MOZ,GDP_damage,2025,42.0731940488682
Remind-Magpie_damages,Below 2C,MUS,Population,2025,1.3179
Remind-Magpie_damages,Below 2C,MUS,GDP_damage,2025,28.5574476812907
Remind-Magpie_damages,Below 2C,MYS,Population,2025,36.1155
Remind-Magpie_damages,Below 2C,MYS,GDP_damage,2025,949.801836839136
