Scenario,Country,Variable,ISO,Year,Value
SSP1,Afghanistan,Rule-of-Law Index,AFG,2025,0.391264081001281
SSP1,Afghanistan,Rule-of-Law Index,AFG,2026,0.391755700111389
SSP1,Afghanistan,Rule-of-Law Index,AFG,2027,0.394384831190109
SSP1,Afghanistan,Rule-of-Law Index,AFG,2028,0.38924354314804
SSP1,Afghanistan,Rule-of-Law Index,AFG,2029,0.385790646076202
SSP1,Afghanistan,Rule-of-Law Index,AFG,2030,0.385241210460662
SSP1,Afghanistan,Rule-of-Law Index,AFG,2031,0.387405216693878
SSP1,Afghanistan,Rule-of-Law Index,AFG,2032,0.388143151998519
SSP1,Afghanistan,Rule-of-Law Index,AFG,2033,0.390863329172134
SSP1,Afghanistan,Rule-of-Law Index,AFG,2034,0.395795077085495
SSP1,Afghanistan,Rule-of-Law Index,AFG,2035,0.40266153216362
SSP1,Afghanistan,Rule-of-Law Index,AFG,2036,0.411147892475128
SSP1,Afghanistan,Rule-of-Law Index,AFG,2037,0.41767132282257
SSP1,Afghanistan,Rule-of-Law Index,AFG,2038,0.425309658050537
SSP1,Afghanistan,Rule-of-Law Index,AFG,2039,0.434324353933334
SSP1,Afghanistan,Rule-of-Law Index,AFG,2040,0.444516658782959
SSP1,Afghanistan,Rule-of-Law Index,AFG,2041,0.455645859241485
SSP1,Afghanistan,Rule-of-Law Index,AFG,2042,0.464788168668746
SSP1,Afghanistan,Rule-of-Law Index,AFG,2043,0.474521160125732
SSP1,Afghanistan,Rule-of-Law Index,AFG,2044,0.485075056552886
SSP1,Afghanistan,Rule-of-Law Index,AFG,2045,0.496297031641006
SSP1,Afghanistan,Rule-of-Law Index,AFG,2046,0.5080007314682
SSP1,Afghanistan,Rule-of-Law Index,AFG,2047,0.517954766750335
SSP1,Afghanistan,Rule-of-Law Index,AFG,2048,0.528165221214294
SSP1,Afghanistan,Rule-of-Law Index,AFG,2049,0.538814306259155
SSP1,Afghanistan,Rule-of-Law Index,AFG,2050,0.549790263175964
SSP1,Afghanistan,Rule-of-Law Index,AFG,2051,0.560957670211792
SSP1,Afghanistan,Rule-of-Law Index,AFG,2052,0.570751130580902
SSP1,Afghanistan,Rule-of-Law Index,AFG,2053,0.580585181713104
SSP1,Afghanistan,Rule-of-Law Index,AFG,2054,0.590590894222259
SSP1,Afghanistan,Rule-of-Law Index,AFG,2055,0.600694119930267
SSP1,Afghanistan,Rule-of-Law Index,AFG,2056,0.610806226730346
SSP1,Afghanistan,Rule-of-Law Index,AFG,2057,0.619880497455596
SSP1,Afghanistan,Rule-of-Law Index,AFG,2058,0.628867387771606
SSP1,Afghanistan,Rule-of-Law Index,AFG,2059,0.637859940528869
SSP1,Afghanistan,Rule-of-Law Index,AFG,2060,0.646815419197082
SSP1,Afghanistan,Rule-of-Law Index,AFG,2061,0.655681312084198
SSP1,Afghanistan,Rule-of-Law Index,AFG,2062,0.66379427909851
SSP1,Afghanistan,Rule-of-Law Index,AFG,2063,0.671745836734771
SSP1,Afghanistan,Rule-of-Law Index,AFG,2064,0.679600536823272
SSP1,Afghanistan,Rule-of-Law Index,AFG,2065,0.687339305877685
SSP1,Afghanistan,Rule-of-Law Index,AFG,2066,0.694936990737915
SSP1,Afghanistan,Rule-of-Law Index,AFG,2067,0.701984107494354
SSP1,Afghanistan,Rule-of-Law Index,AFG,2068,0.708836019039154
SSP1,Afghanistan,Rule-of-Law Index,AFG,2069,0.715539336204528
SSP1,Afghanistan,Rule-of-Law Index,AFG,2070,0.722091317176818
SSP1,Afghanistan,Rule-of-Law Index,AFG,2071,0.728484570980072
SSP1,Afghanistan,Rule-of-Law Index,AFG,2072,0.734462320804596
SSP1,Afghanistan,Rule-of-Law Index,AFG,2073,0.74023562669754
SSP1,Afghanistan,Rule-of-Law Index,AFG,2074,0.745841026306152
SSP1,Afghanistan,Rule-of-Law Index,AFG,2075,0.75128561258316
SSP1,Afghanistan,Rule-of-Law Index,AFG,2076,0.756573140621185
SSP1,Afghanistan,Rule-of-Law Index,AFG,2077,0.761561453342437
SSP1,Afghanistan,Rule-of-Law Index,AFG,2078,0.766365587711334
SSP1,Afghanistan,Rule-of-Law Index,AFG,2079,0.77101194858551
SSP1,Afghanistan,Rule-of-Law Index,AFG,2080,0.775511264801025
SSP1,Afghanistan,Rule-of-Law Index,AFG,2081,0.779871582984924
SSP1,Afghanistan,Rule-of-Law Index,AFG,2082,0.784001529216766
SSP1,Afghanistan,Rule-of-Law Index,AFG,2083,0.787958145141601
SSP1,Afghanistan,Rule-of-Law Index,AFG,2084,0.791762828826904
SSP1,Afghanistan,Rule-of-Law Index,AFG,2085,0.795429468154907
SSP1,Afghanistan,Rule-of-Law Index,AFG,2086,0.798969745635986
SSP1,Afghanistan,Rule-of-Law Index,AFG,2087,0.802327156066894
SSP1,Afghanistan,Rule-of-Law Index,AFG,2088,0.805529236793518
SSP1,Afghanistan,Rule-of-Law Index,AFG,2089,0.808593988418579
SSP1,Afghanistan,Rule-of-Law Index,AFG,2090,0.811536192893981
SSP1,Afghanistan,Rule-of-Law Index,AFG,2091,0.814368426799774
SSP1,Afghanistan,Rule-of-Law Index,AFG,2092,0.817057013511657
SSP1,Afghanistan,Rule-of-Law Index,AFG,2093,0.819614291191101
SSP1,Afghanistan,Rule-of-Law Index,AFG,2094,0.822055160999298
SSP1,Afghanistan,Rule-of-Law Index,AFG,2095,0.824393153190612
SSP1,Afghanistan,Rule-of-Law Index,AFG,2096,0.826640129089355
SSP1,Afghanistan,Rule-of-Law Index,AFG,2097,0.828780889511108
SSP1,Afghanistan,Rule-of-Law Index,AFG,2098,0.830818176269531
SSP1,Afghanistan,Rule-of-Law Index,AFG,2099,0.832763195037841
SSP1,Afghanistan,Rule-of-Law Index,AFG,2100,0.834627091884613
SSP1,Albania,Rule-of-Law Index,ALB,2025,0.848036408424377
SSP1,Albania,Rule-of-Law Index,ALB,2026,0.8405122756958
SSP1,Albania,Rule-of-Law Index,ALB,2027,0.834029853343963
SSP1,Albania,Rule-of-Law Index,ALB,2028,0.828530669212341
SSP1,Albania,Rule-of-Law Index,ALB,2029,0.823903799057006
SSP1,Albania,Rule-of-Law Index,ALB,2030,0.820057272911071
SSP1,Albania,Rule-of-Law Index,ALB,2031,0.816904485225677
SSP1,Albania,Rule-of-Law Index,ALB,2032,0.814308524131774
SSP1,Albania,Rule-of-Law Index,ALB,2033,0.81222778558731
SSP1,Albania,Rule-of-Law Index,ALB,2034,0.810601472854614
SSP1,Albania,Rule-of-Law Index,ALB,2035,0.809370338916778
SSP1,Albania,Rule-of-Law Index,ALB,2036,0.808480501174926
SSP1,Albania,Rule-of-Law Index,ALB,2037,0.807865381240844
SSP1,Albania,Rule-of-Law Index,ALB,2038,0.807494938373565
SSP1,Albania,Rule-of-Law Index,ALB,2039,0.807334959506988
SSP1,Albania,Rule-of-Law Index,ALB,2040,0.80735445022583
SSP1,Albania,Rule-of-Law Index,ALB,2041,0.807526111602783
SSP1,Albania,Rule-of-Law Index,ALB,2042,0.807816505432128
SSP1,Albania,Rule-of-Law Index,ALB,2043,0.80821281671524
SSP1,Albania,Rule-of-Law Index,ALB,2044,0.808699190616607
SSP1,Albania,Rule-of-Law Index,ALB,2045,0.80926102399826
SSP1,Albania,Rule-of-Law Index,ALB,2046,0.809885680675506
SSP1,Albania,Rule-of-Law Index,ALB,2047,0.810575067996978
SSP1,Albania,Rule-of-Law Index,ALB,2048,0.811307668685913
SSP1,Albania,Rule-of-Law Index,ALB,2049,0.812073767185211
SSP1,Albania,Rule-of-Law Index,ALB,2050,0.812866866588592
SSP1,Albania,Rule-of-Law Index,ALB,2051,0.813681542873382
SSP1,Albania,Rule-of-Law Index,ALB,2052,0.814521670341491
SSP1,Albania,Rule-of-Law Index,ALB,2053,0.815377533435821
SSP1,Albania,Rule-of-Law Index,ALB,2054,0.816244781017303
