"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2169949832.80698","2342740154.64923","2480548422.75457","2661819292.29095","2880192319.63175","2953554956.47606","2988577871.82626","3199179218.50475","3262906371.03499","3303302517.17602","3555110646.86675","3703785432.08401","3668786382.70893","3709528424.23265","3980091340.21122","3964842110.90432","4009542195.39676","4133418781.15287","4209298230.20474","3717747269.41532","3616124254.15126","3737960057.14955","3699055373.19706","3936959476.04352","3874496655.79669","3850334291.06464","3916545601.34322","4192604625.63319","4293104933.80396","4197263925.2077","3097084627.34777","3844492519.39592","4171963243.75766","4349844050.54879","",
"Africa Eastern and Southern","AFE","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1055847416731.93","1055474259962.23","1031707546502.76","1023088007467.27","1040112268425.85","1086887382636.25","1147177051461.61","1193603623100.75","1216299096376.24","1249537996202.2","1290184518460.27","1337401409879.14","1389868653482.92","1433593159368.55","1516411320561.09","1613368198077.4","1722567713262.77","1840958376604.14","1926501120874.73","1944580183161.2","2049024643215.78","2137808234792.5","2199908806332.27","2296099294102.77","2395109572890.61","2474646929676.65","2540219171193.48","2615202660065.45","2689676905471.77","2753740308606.81","2681333640746.99","2805504558104.61","2908845901221.61","2977894568548.49","",
"Afghanistan","AFG","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32567375969.9946","29495629513.1972","37931379899.2707","41281584746.4411","41865355064.2988","46566715049.4503","49061481753.757","55844878995.5875","58036781460.4599","70451155676.9393","80569661676.7348","80913174277.9269","91231454557.6403","96341095375.7699","98965950294.897","100402257640.593","102671664129.973","105389386367.805","106642706595.941","110814146350.335","108208794210.783","85767546197.7544","80415503801.351","82595477072.046","",
"Africa Western and Central","AFW","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","691442450823.748","699468823706.142","714064045990.823","705942464240.195","705320827796.844","720939697577.157","754849968300.512","788939343015.011","818420079535.925","832561395980.802","863215281625.953","907380601512.909","990150629058.996","1043101181568.87","1123833668952.97","1188336778466.28","1251408175935.51","1317406446144.06","1398958071701.93","1482184793143.31","1582555837565.01","1659172234344.93","1747906474735.77","1852758252392.92","1960447054483.91","2014456562435.89","2024241438271.89","2076402177174.34","2139259019255.18","2212297822046.43","2193806653095.44","2283307241252.37","2371235316819.04","2452556275837.2","",
"Angola","AGO","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85939173894.7711","86791139889.2773","81724029491.0565","62123814347.746","62955878002.4664","72399259721.0075","82205283157.5778","88185123454.5974","92322016743.7908","94336012046.8804","97217622732.544","101306594541.042","115150838445.243","118593848514.756","131579874934.174","151356330124.348","168837986250.5","192492188138.725","213993565542.684","215833910210.958","225327096983.953","233150573548.039","253066545188.451","265605013213.782","278413972399.103","281041007465.416","273790009952.672","273386955626.621","269788194480.114","267893544947.44","252789131669.92","255820605533.992","263609643364.336","266249138676.023","",
"Albania","ALB","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17525749543.7501","12618164330.2493","11711282864.3972","12830812606.9918","13896137861.061","15747427665.7522","17180443494.5932","15304341800.4299","16655626991.4235","18802671162.0281","20108745426.1073","21776426550.5085","22764319402.2347","24022876093.3402","25347657932.5539","26748477046.5737","28327348443.9341","30022247216.0602","32273928195.5422","33356489131.7915","34592993553.7701","35473525737.2546","35976271726.6393","36336760279.8341","36981537505.6931","37802056632.2783","39055187507.7331","40540299568.0701","42169754321.8601","43039533986.2005","41613325998.8542","45345855492.4208","47534558600.5129","49405816040.3846","",
"Andorra","AND","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2631759311.90244","2698763996.90569","2723841290.8748","2695745293.15108","2759989816.43446","2836096580.14852","2967967659.48467","3237093233.43958","3340511674.18327","3477441884.0993","3600138634.67129","3892446768.89736","4069411497.98481","4423214423.66702","4783072832.92882","5041253346.26448","5283671526.22279","5365736885.77917","5067445572.25505","4798726709.88385","4703953872.84549","4703574275.36736","4469597620.27972","4311034330.8461","4419002699.26687","4482377402.04324","4648659173.53205","4664746876.17637","4738858764.76253","4834372720.68675","4293699379.34509","4649508748.84024","5094216232.49801","5225828100.9848","",
"Arab World","ARB","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2466713424820.75","2423224885117.73","2578417521720.07","2663566186447.67","2746680967930.71","2825943123375.79","2969730233686.32","3129414393533.15","3302248499329.99","3407873139035.46","3618687303630.31","3702664033691","3748803213302.02","3871865147780.75","4219385214642.63","4444066043045.97","4712273833580.73","4934587881105.27","5217198969205.99","5285697545445.7","5540317919709.04","5768703762596.62","5977197088888.21","6103957599034.26","6264657333074.73","6503843902341.74","6757016956712.61","6876601216995.21","7074689403487.56","7225397230498.61","6949509703601.73","7218509069336.17","7633304894125.06","7720367584623.25","",
"United Arab Emirates","ARE","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","205116039145.658","206880205170.224","213800233956.308","216496663148.778","231426594652.754","246904142540.741","261220642388.846","282615654354.412","283440876074.999","291666935840.743","323320685681.595","327844217016.708","335822164444.83","365376331087.755","400329826290.311","419766404604.539","461060168109.328","475742122795.353","490927032438.189","465188111522.565","472644379393.479","502024529760.633","511183870860.687","537027076395.004","559397969508.738","597363039191.564","630585329389.798","635220564855.955","643566816035.176","650699776863.479","618444247719.99","645375981370.255","693841762289.867","718949859487.682","",
"Argentina","ARG","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","557088925124.231","607968472614.51","656224702857.102","710080926887.272","751522674939.001","730140279566.018","770492868120.735","832987905019.268","865059429174.392","835773213823.75","829178972033.759","792621800475.08","706269738674.223","768683083609.037","838091886093.454","912276929668.686","985689236302.599","1074476681421.66","1118070705029.3","1051897409980.83","1158406210935.09","1227956360246.09","1215352364993.03","1244585524448.65","1213313877880.72","1246451419104.46","1220521143173.66","1254921567938.2","1222075295207.81","1197623267200.44","1079052757506.56","1191725417699.43","1254527913254.77","1234317448237.57","",
"Armenia","ARM","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21801542439.2043","19250762304.759","11203943132.7907","10217996272.3038","10769768354.9844","11512882201.2876","12188158880.2036","12592937350.635","13512221775.6837","13958125094.3598","14781654475.3627","16200693304.8905","18339184820.8016","20906670695.9981","23101871118.8312","26313031204.1439","29786351322.9505","33867081454.6554","36203910075.1721","31099158754.3195","31783340246.9814","33277157238.1681","35673112559.6373","36850325274.1053","38176936984.1905","39398598967.2899","39477396165.156","42438200878.1907","44644987323.7094","48038006359.6591","44579269902.145","47164867556.762","53107640868.8087","57515575060.7049","",
"American Samoa","ASM","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1329354689.33787","1358292520.91361","1374028893.81986","1446581300.60078","1543153922.42423","1475882099.11111","1573362138.27105","1659443844.82367","1737955934.4984","1802394273.99954","1914205652.77053","1827146277.21666","1845915180.31838","1958089526.02396","2071007368.51491","2205082670.70943","2485304852.8264","2716819214.04308","2716438684.1923","2391472045.92859","2203970352.68407","2160800704.68903","2233680952.57216","2220262884.603","2269362943.96486","2302158762.797","2396541874.4021","2455576690.02212","2626317506.91597","2707745040.67825","2196511967.60871","2376444043.97534","2602595861.44867","2703108430.80408","",
"Australia","AUS","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","617847648621.41","615485862957.577","618121924554.201","643135638571.314","668734934843.105","694721481116.115","721564747408.027","749801360543.87","784766207088.24","824221772852.574","856543653829.471","873889566768.973","908666750833.012","936751476610.192","976322526977.807","1007117375129.8","1034866944503.98","1073915803621.98","1112429291182.38","1133482636467.42","1158645727308.34","1186535259000.63","1233008397315.4","1265093660382.32","1297926435201.99","1326353221353.02","1362952426087.29","1394022177805.79","1434148684009.84","1465291868872.82","1463539515544.78","1494437295625.78","1557837087559.46","1611457718603.37","",
"Austria","AUT","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","332534700272.684","343979305200.38","351180597795.562","353030650241.997","361510865584.38","371155915572.328","379379867477.704","387520732544.48","401056367807.215","416143805388.426","429416806436.87","435072172568.424","441530248928.777","446570603780.193","458026278935.6","468654161624.826","483976041343.211","502247223992.569","509546411012.276","491272727539.889","500159766041.598","514801782680.678","518036005211.925","516737151429.4","520642646049.865","527429343199.106","538596181003.738","550834433374.929","564518377310.895","574425541921.666","538131869751.034","563937063927.255","593701065583.804","588031443835.895","",
"Azerbaijan","AZE","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76150158411.7293","75617107169.0517","58527640701.9982","45007756449.67","36141227871.0231","31876563304.7372","32290958437.9179","34163834075.0941","37580217349.8896","40361153922.1686","44841241661.8096","49280524525.944","53932071972.9041","59437619352.7793","64937858840.7126","83095482987.1161","111763424617.671","139704280606.197","154735033506.153","169119765061.013","177658528160.298","177836186933.316","181686766253.349","192242405530.178","197530045996.288","199690977126.894","193500557074.845","193887558070.879","196795871441.943","201715768360.705","193041990114.825","203884098954.124","213496831273.905","215896480846.588","",
"Burundi","BDI","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7799958297.46631","8189709456.59676","8272425388.69772","7756226044.32796","7459162587.12507","6868396909.94521","6318925157.29102","6218454247.48862","6513830823.93938","6448041132.8457","6392790185.90594","6524213620.96985","6814314046.1228","6730925379.84221","7056275277.3296","7119781754.8892","7505233008.23771","7764309791.27688","8141788511.19378","8452214175.39105","8885319152.80728","9243628531.93661","9654665547.09098","10130079612.68","10559660855.4562","10147834073.5944","10086946976.8972","10137381839.1223","10300587140.1404","10487292010.8126","10521601909.4771","10847771568.5348","11048346804.0333","11346652233.7065","",
"Belgium","BEL","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","415225387409.085","422836777720.338","429308948340.614","425179541159.786","438899963931.716","449366662112.57","455304738720.979","472577505061.304","481848683025.017","498919223594.864","517462580122.209","523152617220.646","532082278412.397","537605054541.573","556804042848.454","569731573698.171","584273064411.868","605756345844.378","608463500925.069","596863503919.84","613040363589.385","624879123091.61","626227635192.43","628140726041.174","639230804215.413","648654117074.732","656395821086.17","666074165166.906","678582828656.245","695159861170.368","661840960964.239","702892004067.138","732648457923.79","741819023302.224","",
"Benin","BEN","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11656583104.9364","12149166926.2602","12508504151.8532","13238521979.4165","13505993136.7465","14322457251.5743","14941800983.3964","15798666707.4387","16424453813.4141","17301757698.4924","18315245216.9866","19292022099.3023","20187756640.9639","20882937540.2307","21807985798.8406","22181592483.5838","23056376559.0627","24436611800.8323","25633169334.4503","26227677415.8337","26782147492.6578","27575904170.7536","28902642501.7287","30981156880.988","32950839416.3041","33536755116.7638","34656773215.4406","36622353578.7467","39075045480.191","41757815652.7983","43364987288.175","46467947984.7692","49373702578.7732","52510325825.4315","",
"Burkina Faso","BFA","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10147246626.4723","11067600318.4869","11093355815.5061","11477339562.9845","11628267412.8817","12292982651.9561","13647023204.9982","14509083107.0829","15569366222.1532","16720757878.4085","17036525024.9961","18163219549.8152","18953857927.1605","20432731533.6007","21347801635.5542","23196921150.2789","24647462832.3919","25660813447.6573","27149138508.3087","27953282649.4762","30314295612.087","32321878819.7076","34407503766.8525","36400587615.628","37975584844.5378","39464694412.0733","41815991712.8466","44410042330.9491","47343134249.8795","50131268465.3998","51139294287.7971","54689652540.5665","55508487752.6131","57151639723.4798","",
"Bangladesh","BGD","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231057491642.193","239110371611.813","252124397255.285","264003393854.592","274273459684.511","288319765753.339","301360235844.557","314890998518.98","331192990133.438","346660220655.243","365009967807.802","383542574281.815","398244236516.444","417119290521.284","438974393023.351","467665517646.591","498867716635.171","534080790061.383","566199285910.257","594764746496.571","627903778372.382","668493859146.43","712089410611.241","754911659700.223","800667303501.53","853132148522.175","913819518032.847","974042508801.188","1045336699213.33","1127729250889.44","1166613553390.4","1247561124482.2","1336135828193.28","1413299173688.33","",
"Bulgaria","BGR","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130382383785.294","119371128361.13","110689996786.783","109051547012.211","111034116496.964","114211934087.288","120157113280.942","103196479552.439","107106718196.317","98113940416.3637","102614648120.392","106538328908.916","112794186273.093","118701391099.25","126429356347.634","135350653237.775","144558001869.381","154177451691.422","163627849247.666","158150993817.496","160610810537.084","163967857980.126","165195673726.64","164299071559.352","165859007426.785","171494155538.452","176684647265.62","181536277722.813","186164480400.557","193217973995.305","187004591275.451","201554698207.22","209695044175.93","213651601386.24","",
"Bahrain","BHR","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21547623542.9407","23967421403.9346","25570841504.3753","28861810511.4762","28789655556.7316","29921086586.0379","31150845074.4347","32114340646.1523","33652618458.629","35099680702.4898","36959988369.1572","37880642500.2661","39149095007.7291","41614095060.0745","44519158637.8921","47532659538.3114","50606596688.6419","54803887801.8727","58226396500.1981","59705280555.8592","62293086037.1284","63494195104.0003","65908897751.0461","69397206737.5295","72387433086.8861","74202817290.9218","77033649779.8554","80849769947.2943","82509283148.6207","84203097859.2666","79225547127.628","82671890844.1512","87616746984.0241","90228420640.4411","",
"Bahamas, The","BHS","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9123444229.61655","8741921405.19964","8407492007.49916","8433370822.45741","8698930583.26392","9079835183.1866","9463324778.98996","9585189047.17809","10037303105.6459","10754378468.9508","11200515181.763","11494641811.0921","11805566842.8672","11656236259.1608","11759087827.5107","12158436351.9152","12464414614.8719","12644662503.6934","12350845047.4154","11835144398.0941","12017247325.2225","12090933569.0804","12453408054.2508","12096828468.589","12320288444.1932","12443091980.1107","12323400786.2415","12668396688.2535","13001561568.1748","12825095896.3456","10077516213.8323","11629771045.9822","12883694495.3073","13223702405.4274","",
"Bosnia and Herzegovina","BIH","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10735932294.6139","9732334659.81404","9105873259.6952","8907242430.79893","9898793583.93896","11479462734.6809","17701251199.8224","24187189392.2218","28206223362.1702","30891898716.3599","32564483715.7789","33353623138.9953","35030457933.4347","36385134362.2917","38686590956.5147","40194276264.3232","42370395816.5286","44852083431.1805","47293755068.6278","45872835039.8856","46269942071.6252","46713907369.8944","46329995440.5967","47418683925.5391","47965824927.8279","50035430652.0509","51657707010.0731","53333535178.5299","55374875813.7366","56973738604.8752","55255926176.7941","59339318311.9478","61847479152.1832","63215003899.1015","",
"Belarus","BLR","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125855114621.861","124344858749.409","112407750705.735","103864759517.314","91712578670.078","82174470003.6922","84475358966.558","94105554499.4729","102010412931.092","105478766196.941","111596538181.325","116869816151.576","122766211009.548","131412871590.57","146459307731.814","160226484985.316","176249125026.036","191406561408.986","210930029663.458","211351879702.312","227731686449.592","240370737483.726","244475915301.019","246917543398.808","250994459910.067","241382449970.427","235284051667.169","241241875602.158","248839058943.738","252438405140.542","250740143565.291","256855349956.288","244890010824.575","254407029633.079","",
"Belize","BLZ","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1509229599.5401","1687027060.47525","1901803195.12936","2018535873.24755","2018136103.80194","2032927573.28952","2055414604.6051","2142464401.38673","2225816330.79647","2435595347.38045","2733723411.44429","2870244677.12019","3025155337.29416","3317586686.75806","3476195214.30393","3553350717.30671","3713658264.99642","3838186447.30401","3773623681.83795","3758932154.71178","3800808004.13945","3791513364.52901","3933231632.99785","4108430592.53654","4274035085.38058","4396964189.90574","4399362806.5794","4319608802.18015","4367581135.65338","4553973639.66916","3920838780.18393","4616637500.26857","5062280489.76259","5120446944.09888","",
"Bermuda","BMU","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4553486195.90965","4392548595.13529","4389924565.03861","4521998392.25228","4549112899.05413","4749235123.18106","4872737815.62408","5096883796.20212","5295662269.05681","5474795830.9756","5984891121.72288","6417146024.98044","6322314044.38332","6537949631.62813","6689712913.49849","6801712496.11236","7178790348.47856","7418930915.0353","7280496941.37318","6870845386.65874","6698876489.17275","6448154670.04412","6106060777.93223","6088981604.14762","5863624279.21366","5909098426.9701","5870263459.58317","6082263318.65031","6055939203.91713","6074486531.20472","5658817336.41068","5965474014.7205","6349121642.12384","6343101176.8611","",
"Bolivia","BOL","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36538326974.9442","38462627709.0648","39095914175.4943","40765034521.1438","42667646751.4397","44663757283.9454","46611696467.9087","48920937209.5812","51381344691.5325","51600684161.9508","52894731696.8795","53785372727.536","55122243524.0202","56616794871.7388","58979581074.8463","61587323810.5845","64541673167.9731","67487603144.9233","71637076989.9219","74041933359.5186","77097438550.321","81109660523.7312","85264320858.5034","91058893848.1463","96031228100.6","100695644651.071","104989227225.848","109393741901.869","114014121704.605","116541479327.601","106358219546.292","112858166795.217","116927471575.734","120531135606.727","",
"Brazil","BRA","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1884169357571.79","1903617557453.7","1893260506388.94","1986497717291.21","2102764853432.13","2191581301438.96","2239990352941.52","2316034575532.01","2323865039823.12","2334739277338.68","2437186456558.21","2471060823402.5","2546513723160.09","2575565090158.29","2723916728546.84","2811140139434.87","2922517194416.03","3099910206578.08","3257825691169.88","3253726955440.9","3498674868152.62","3637727009587.29","3707614147323.18","3819021377717.48","3838267555171.56","3702171669286.63","3580891601615.87","3628262108472.51","3692978213726.3","3738061272790.16","3615574021216.43","3787769507879.98","3902034936764.09","4015524861483.22","",
"Barbados","BRB","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4389884980.45741","4218683556.35598","3978534118.45262","4010086599.34503","4090720717.1812","4173107750.6225","4339050427.90852","4544725858.91092","4714174367.40722","4729950607.85342","4940300480.46953","4823439440.12724","4861419278.23847","4967178519.74823","5037295143.95361","5236543217.73715","5554429963.5782","5669916776.51655","5705833491.39107","5419556079.33861","5299366018.54009","5260604624.09112","5244122563.18964","5191136900.81965","5195414681.98675","5151456355.18413","5243766864.27155","5250502273.14038","5188857958.70551","5222719689.0891","4436472511.25397","4425161020.06509","5214293923.41486","5427757736.63078","",
"Brunei Darussalam","BRN","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30166243010.9338","31044278635.6021","30075505033.0829","29884931646.0164","30181609718.7749","30588244682.3254","30579889426.826","32519860855.3977","30354961859.7054","31648302533.9456","32747978585.697","33228083767.9709","34544394076.2845","35782267885.8421","35819674110.5465","35818268120.7388","37286248538.0044","35882934534.8187","34483245024.5781","33827975829.3173","34755323894.0047","36056704461.8118","36385950967.0723","35612828398.7822","34719698828.0046","34583464462.7432","33726514652.9977","34174647795.1643","34192545418.5773","35515401716.6394","35917994865.5525","35346624879.392","34771064638.0763","35260317274.2657","",
