Scenario,Country,partner,partner_iso,Year,inflation,unemployment
Below 2C,Argentina,Argentina,ARG,2023,-0.28757603963216144,0.3028786579767863
Below 2C,Australia,Australia,AUS,2023,0.037418007850646896,-0.0423131982485453
Below 2C,Austria,Austria,AUT,2023,0.066085418065389,0.020228306452433235
Below 2C,Belgium,Belgium,BEL,2023,0.013735910256703699,-0.15546580155690512
Below 2C,Brazil,Brazil,BRA,2023,-0.040442228317260735,0.509307861328125
Below 2C,Bulgaria,Bulgaria,BGR,2023,0.12854104737440747,0.27136580149332684
Below 2C,Canada,Canada,CAN,2023,0.10866590340932214,0.3590380350748698
Below 2C,Chile,Chile,CHL,2023,-0.0603994528452555,0.19667522112528482
Below 2C,China,China,CHN,2023,0.5492163489883145,-0.35122684637705487
Below 2C,Croatia,Croatia,HRV,2023,0.10715274016062425,0.296672264734904
Below 2C,Czech Republic,Czech Republic,CZE,2023,0.0139195124308268,0.43372849623362214
Below 2C,Denmark,Denmark,DNK,2023,-0.0006205812096595672,0.0039596954981486005
Below 2C,Egypt,Egypt,EGY,2023,0.8268205324808756,0.4661071300506592
Below 2C,Estonia,Estonia,EST,2023,0.0976172685623169,0.013605038324991834
Below 2C,Finland,Finland,FIN,2023,-0.010660568873087568,0.10583468278249103
Below 2C,France,France,FRA,2023,-0.0264740784962972,-0.09452382723490398
Below 2C,Germany,Germany,DEU,2023,0.05920912822087604,-0.03401470184326166
Below 2C,Greece,Greece,GRC,2023,0.0596736508111159,0.2341765562693278
Below 2C,Hong Kong,Hong Kong,HKG,2023,0.27669676144917804,0.4342418909072876
Below 2C,Hungary,Hungary,HUN,2023,-0.0883818467458089,0.5220845739046732
Below 2C,India,India,IND,2023,0.11087254683176674,0.4568028450012207
Below 2C,Indonesia,Indonesia,IDN,2023,-0.06465649604797356,0.46362221240997314
Below 2C,Ireland,Ireland,IRL,2023,-0.018446644147237134,-0.11324898401896161
Below 2C,Italy,Italy,ITA,2023,0.06919222076733907,0.11290522416432693
Below 2C,Japan,Japan,JPN,2023,0.07729423046112056,-0.15546584129333493
Below 2C,Latvia,Latvia,LVA,2023,0.0793533722559611,0.014990846316019666
Below 2C,Lithuania,Lithuania,LTU,2023,0.019417107105255127,0.06325252850850417
Below 2C,Malaysia,Malaysia,MYS,2023,-0.5419327070315679,0.273144006729126
Below 2C,Mexico,Mexico,MEX,2023,0.041305820147196436,0.4313131968180339
Below 2C,Netherlands,Netherlands,NLD,2023,0.0209754705429077,-0.06305617094039913
Below 2C,New Zealand,New Zealand,NZL,2023,0.06425126393636067,0.21285702784856164
Below 2C,Norway,Norway,NOR,2023,0.07270729541778563,0.013944923877716
Below 2C,Poland,Poland,POL,2023,-0.030788024266560864,0.30681808789571124
Below 2C,Portugal,Portugal,PRT,2023,0.006902098655700665,0.07373412450154619
Below 2C,Romania,Romania,ROU,2023,-0.007300774256388369,0.03372017542521153
Below 2C,Russia,Russia,RUS,2023,0.3054634928703308,0.0151239236195882
Below 2C,Singapore,Singapore,SGP,2023,0.32276137669881183,0.3951388398806254
Below 2C,Slovakia,Slovakia,SVK,2023,0.14893082777659097,0.21484641234079996
Below 2C,Slovenia,Slovenia,SVN,2023,0.07511103153228761,0.26438069343566895
Below 2C,South Africa,South Africa,ZAF,2023,0.04641274611155186,0.19396448135375977
Below 2C,South Korea,South Korea,KOR,2023,0.10500939687093097,0.30701780319213867
Below 2C,Spain,Spain,ESP,2023,0.04772063096364343,0.011433521906534766
Below 2C,Sweden,Sweden,SWE,2023,0.061843196551005036,-0.0376737515131632
Below 2C,Switzerland,Switzerland,CHE,2023,0.0229512751102447,0.2368435561656952
Below 2C,Taiwan,Taiwan,TWN,2023,-0.015748848517735767,0.38487499952316284
Below 2C,Turkey,Turkey,TUR,2023,-0.1701650619506836,0.3389822642008464
Below 2C,United Kingdom,United Kingdom,GBR,2023,0.29933416843414307,0.10691640774408977
Below 2C,United States,United States,USA,2023,0.6049314141273499,-0.018378138542175265
Below 2C,Viet Nam,Viet Nam,VNM,2023,0.8957345088322958,0.44808799028396606
Delayed transition,Argentina,Argentina,ARG,2023,0.0217781066894531,0.30166661739349365
Delayed transition,Australia,Australia,AUS,2023,0.007275819778442334,-0.019610007603963166
Delayed transition,Austria,Austria,AUT,2023,0.008073290189107234,0.019244392712910934
Delayed transition,Belgium,Belgium,BEL,2023,0.010204732418060266,-0.10762131214141846
Delayed transition,Brazil,Brazil,BRA,2023,0.015973170598347932,0.5172367095947266
Delayed transition,Bulgaria,Bulgaria,BGR,2023,0.010306159655253068,0.2845613161722819
Delayed transition,Canada,Canada,CAN,2023,-0.04868872960408527,0.39218374093373615
Delayed transition,Chile,Chile,CHL,2023,0.0066627661387125,0.20299887657165527
Delayed transition,China,China,CHN,2023,0.02508697803326257,-0.2563120126724243
Delayed transition,Croatia,Croatia,HRV,2023,0.010806798934936501,0.31104425589243573
Delayed transition,Czech Republic,Czech Republic,CZE,2023,0.004420598347981733,0.43376439809799194
Delayed transition,Denmark,Denmark,DNK,2023,0.007844443122545867,-0.0002217292785644
Delayed transition,Egypt,Egypt,EGY,2023,0.004806677500406867,0.5068526665369669
Delayed transition,Estonia,Estonia,EST,2023,-0.016481320063273103,0.0008680423100789
Delayed transition,Finland,Finland,FIN,2023,-0.012948453426361034,0.11226590474446614
Delayed transition,France,France,FRA,2023,0.017539302508036234,-0.08781846364339187
Delayed transition,Germany,Germany,DEU,2023,0.0181140502293904,-0.04286553462346393
Delayed transition,Greece,Greece,GRC,2023,-0.0013904844721157666,0.2924668788909912
Delayed transition,Hong Kong,Hong Kong,HKG,2023,0.005366245905558234,0.5028491616249084
Delayed transition,Hungary,Hungary,HUN,2023,0.0064481894175211,0.5336606303850809
Delayed transition,India,India,IND,2023,0.004596233367919866,0.4639243682225545
Delayed transition,Indonesia,Indonesia,IDN,2023,0.004666964213053367,0.46951202551523846
Delayed transition,Ireland,Ireland,IRL,2023,0.039904514948527,-0.13528951009114587
Delayed transition,Italy,Italy,ITA,2023,0.0005726615587869667,0.1328240633010864
Delayed transition,Japan,Japan,JPN,2023,0.008349061012267999,-0.0804048975308736
Delayed transition,Latvia,Latvia,LVA,2023,0.0096697807312011,0.020739436149597137
Delayed transition,Lithuania,Lithuania,LTU,2023,0.010033229986826533,0.0628290971120198
Delayed transition,Malaysia,Malaysia,MYS,2023,-0.03132924437522883,0.33143842220306396
Delayed transition,Mexico,Mexico,MEX,2023,0.022167205810546833,0.43898651997248334
Delayed transition,Netherlands,Netherlands,NLD,2023,0.008090019226074167,-0.0635750889778137
Delayed transition,New Zealand,New Zealand,NZL,2023,0.0051983992258707,0.21556899944941207
Delayed transition,Norway,Norway,NOR,2023,0.0030269225438435336,0.006361444791158
Delayed transition,Poland,Poland,POL,2023,0.006028731664021767,0.32151615619659424
Delayed transition,Portugal,Portugal,PRT,2023,0.0016216437021890665,0.13156485557556152
Delayed transition,Romania,Romania,ROU,2023,0.0030463536580403335,0.0436004797617594
Delayed transition,Russia,Russia,RUS,2023,-0.05789675315221147,0.0027822256088256003
Delayed transition,Singapore,Singapore,SGP,2023,0.005380868911743134,0.5100381871064504
Delayed transition,Slovakia,Slovakia,SVK,2023,0.0006013313929239,0.21878023942311606
Delayed transition,Slovenia,Slovenia,SVN,2023,0.011915206909179632,0.266400694847107
Delayed transition,South Africa,South Africa,ZAF,2023,-0.008878707885742134,0.23000876108805338
Delayed transition,South Korea,South Korea,KOR,2023,0.0038192073504129333,0.3183838129043579
Delayed transition,Spain,Spain,ESP,2023,0.0109070738156636,0.0271406173706054
Delayed transition,Sweden,Sweden,SWE,2023,0.0045370658238728665,-0.008283297220865833
Delayed transition,Switzerland,Switzerland,CHE,2023,0.007540583610534633,0.23850640654563904
Delayed transition,Taiwan,Taiwan,TWN,2023,0.005650599797566667,0.38763366142908734
Delayed transition,Turkey,Turkey,TUR,2023,0.009921073913574167,0.3386325041453044
Delayed transition,United Kingdom,United Kingdom,GBR,2023,0.12834171454111734,0.08700154225031533
Delayed transition,United States,United States,USA,2023,0.23176729679107666,-0.033012111981709766
Delayed transition,Viet Nam,Viet Nam,VNM,2023,0.013706326484680167,0.5193937420845032
Fragmented World,Argentina,Argentina,ARG,2023,0.021898905436197866,0.30380352338155114
Fragmented World,Australia,Australia,AUS,2023,0.007315993309020966,-0.019728839397430364
Fragmented World,Austria,Austria,AUT,2023,0.008116086324055933,0.0193817218144734
Fragmented World,Belgium,Belgium,BEL,2023,0.010261654853820766,-0.108336607615153
Fragmented World,Brazil,Brazil,BRA,2023,0.0160603523254394,0.520912249883016
