"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","AGO","Population","million",33.3692,38.9301,44.7933,50.9378,57.3126,63.714,70.04,76.1589,82.0546,87.3371,92.4657,96.5494,100.4326,102.9462,105.1457,106.1862,107.2136
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","AGO","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",191.2012,198.111813387086,218.79660881513,256.481082545704,316.998031044728,397.163424730035,493.599378011804,623.295226450039,785.721065751609,1009.84423064675,1243.07764700542,1585.32451407783,1930.50780229905,2377.13453091068,2826.80239465388,3379.64629184592,3938.28383612031
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","ALB","Population","million",2.8988,2.8071,2.717,2.6161,2.5028,2.3847,2.2667,2.1516,2.0409,1.9392,1.8527,1.7696,1.6947,1.6208,1.5522,1.4881,1.434
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","ALB","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",37.613,43.6805271070318,49.1417007762014,55.2869797571301,61.2328913118706,66.6501259769908,71.5499041221779,76.5697167590297,80.2783715379308,84.1632338936108,89.2185127299887,93.3211663802327,97.4735452426233,100.999138922309,104.472261866218,107.390611491637,110.73266048917
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","ARE","Population","million",9.4187,9.8912,10.3932,10.8437,11.2287,11.5768,11.8916,12.1343,12.2692,12.2114,12.069,11.7398,11.3746,10.9534,10.5875,10.2446,9.9625
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","ARE","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",593.172,668.574554625184,725.358368266291,785.111993028964,845.341175370394,907.204892982649,952.78114643577,1012.07725339457,1042.99511313176,1086.03295190641,1113.08018022559,1134.1448273181,1137.22452932423,1131.28588000742,1119.93848122359,1124.84499431624,1132.11232434826
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","ARG","Population","million",45.2616,46.4636,47.6556,48.7485,49.7239,50.5382,51.1738,51.628,51.858,51.8076,51.7709,51.4215,51.0785,50.4897,49.8574,49.0788,48.2514
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","ARG","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",786.9881,815.27262798096,884.545763140597,948.915171543012,1024.72482120264,1118.06218460994,1240.49561872103,1389.95803437624,1541.89600907434,1714.42651394109,1895.92467565449,2108.7514387191,2339.10761599197,2564.79452021171,2799.23492385016,3052.84202362838,3297.5875387535
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","ARM","Population","million",2.7992,2.7923,2.7429,2.6904,2.6369,2.5861,2.536,2.4853,2.4341,2.3856,2.3448,2.3036,2.2652,2.2275,2.1969,2.1715,2.1563
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","ARM","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",36.2383,49.3026888294782,54.9001216076531,61.6786462642717,70.774609764228,79.5620287382778,87.7183333525304,95.8565495954524,102.916544865932,110.317470233859,117.434091818453,125.116852744616,132.045068543188,138.400338498032,144.608184941815,153.269662917787,162.826936133819
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","AUS","Population","million",25.7026,27.1235,28.403,29.3463,30.2387,31.1197,32.0157,32.8509,33.6257,34.2704,34.8773,35.312,35.7425,35.9135,36.0797,36.0243,35.9686
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","AUS","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",1191.0755,1257.03032474621,1350.51108803658,1505.64102863589,1694.00809061665,1914.98672122788,2148.1444008624,2394.88555760315,2619.31321768078,2866.48641576635,3115.45149822977,3365.09910100912,3630.91437055031,3889.49467946372,4153.95703358668,4400.43366778039,4626.48844534789
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","AUT","Population","million",8.9509,8.9933,9.0445,9.0936,9.1347,9.1781,9.2167,9.2343,9.2337,9.2156,9.1966,9.1707,9.1223,9.0412,8.9448,8.8221,8.7015
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","AUT","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",444.5636,454.425406198935,483.108406440176,503.304863649675,523.407030646704,550.320713454554,581.682525062517,612.800914426722,636.510238994486,664.500776816764,696.078357048465,731.307513335817,766.63243504708,794.228890261696,820.337505296892,841.263085413036,859.297818182887
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","AZE","Population","million",10.2251,10.6074,10.8234,11.0447,11.2085,11.2812,11.275,11.2203,11.1416,11.0308,10.908,10.7401,10.5544,10.3527,10.1586,9.9562,9.7692
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","AZE","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",133.9006,154.465488518213,155.024645600087,159.725785675037,174.781190764204,194.862480488607,219.208437300483,247.762065832065,275.403036798541,304.92125845088,336.25527908304,374.160316224202,412.978686023979,452.290889985174,491.777270549245,538.912759416409,587.977312653494
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BEL","Population","million",11.6058,11.6265,11.733,11.8629,12.0012,12.1406,12.2771,12.3822,12.4706,12.5448,12.6171,12.6824,12.7246,12.7277,12.7077,12.6459,12.5794
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BEL","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",539.0806,567.558857150411,594.684563433878,619.302530767768,640.847648907569,668.643764470153,702.961662678287,738.639184133155,767.487001503638,802.732359125868,841.937583044811,885.451664974448,930.308462813454,967.871482391208,1005.66994250909,1038.52111571649,1068.12174390703
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BEN","Population","million",12.645,14.495,16.4394,18.4294,20.4595,22.488,24.4897,26.4096,28.1936,29.8065,31.4036,32.6896,33.9305,34.7806,35.5941,36.0478,36.5378
