country,technology,Year,wacc,ISO,inflation,gdp,unemployment,population,is_solar,is_wind_onshore,is_wind_offshore,GDP_PPP
Argentine Republic,solar pv,2023,0.4252549999999999,ARG,135.368876310592,12933.2497342121,6.139,45538401.0,1,0,0,1234317448237.57
Argentine Republic,wind onshore,2020,0.093,ARG,40.0830878011993,11393.0505957877,11.461,45191965.0,0,1,0,1079052757506.56
Commonwealth of Australia,solar pv,2023,0.05049,AUS,6.51199894950456,61583.9188935304,3.668,26658948.0,1,0,0,1611457718603.37
Commonwealth of Australia,wind onshore,2020,0.05459363,AUS,1.88550119010648,58132.798523626,6.456,25649248.0,0,1,0,1463539515544.78
Commonwealth of Australia,solar pv,2020,0.0458333333333333,AUS,1.88550119010648,58132.798523626,6.456,25649248.0,1,0,0,1463539515544.78
Republic of Austria,wind onshore,2014,0.065,AUT,2.00674390270015,43838.8346845363,5.674,8546356.0,0,1,0,520642646049.865
Republic of Austria,wind onshore,2019,0.04385,AUT,1.47368476959242,46550.5623430785,4.56,8879920.0,0,1,0,574425541921.666
Republic of Austria,wind onshore,2018,0.0613666666666666,AUT,1.81048023343624,45951.5818951582,4.933,8840521.0,0,1,0,564518377310.895
Republic of Austria,wind onshore,2013,0.065,AUT,1.70872300692841,43851.3675464788,5.367,8479823.0,0,1,0,516737151429.4
Republic of Austria,wind onshore,2015,0.0625,AUT,2.29263492397251,43915.228020857,5.802,8642699.0,0,1,0,527429343199.106
Republic of Austria,solar pv,2015,0.04,AUT,2.29263492397251,43915.228020857,5.802,8642699.0,1,0,0,527429343199.106
Republic of Austria,solar pv,2020,0.0611,AUT,2.59313274910787,43428.6983141255,5.201,8916864.0,1,0,0,538131869751.034
Republic of Tunisia,solar pv,2023,0.343475,TUN,8.88763642233521,3958.56222854122,15.106,12200431.0,1,0,0,153151847959.48
People's Republic of Bangladesh,solar pv,2023,0.170225,BGD,6.89712404003441,1885.37733613545,4.454,171466990.0,1,0,0,1413299173688.33
Kingdom of Belgium,wind onshore,2014,0.055,BEL,0.840395739536802,40533.9134833922,8.523,11209057.0,0,1,0,639230804215.413
Kingdom of Belgium,wind onshore,2019,0.0371666666666666,BEL,1.85424074414335,43006.4042605622,5.364,11488980.0,0,1,0,695159861170.368
Kingdom of Belgium,wind offshore,2019,0.03875,BEL,1.85424074414335,43006.4042605622,5.364,11488980.0,0,0,1,695159861170.368
Kingdom of Belgium,wind onshore,2013,0.055,BEL,1.41248972600334,40007.8997697861,8.425,11159407.0,0,1,0,628140726041.174
Kingdom of Belgium,wind onshore,2015,0.054,BEL,1.12183847077587,40893.804537772,8.482,11274196.0,0,1,0,648654117074.732
Kingdom of Belgium,wind onshore,2012,0.029,BEL,2.20573636168733,40074.4928091814,7.542,11106932.0,0,1,0,626227635192.43
Kingdom of Belgium,wind offshore,2012,0.0675,BEL,2.20573636168733,40074.4928091814,7.542,11106932.0,0,0,1,626227635192.43
