"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","AGO","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",191.2012,198.111813387086,218.79660881513,256.481082545704,316.998031044728,397.163424730035,493.599378011804,623.295226450039,785.721065751609,1009.84423064675,1243.07764700542,1585.32451407783,1930.50780229905,2377.13453091068,2826.80239465388,3379.64629184592,3938.28383612031
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","ALB","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",37.613,43.6805271070318,49.1417007762014,55.2869797571301,61.2328913118706,66.6501259769908,71.5499041221779,76.5697167590297,80.2783715379308,84.1632338936108,89.2185127299887,93.3211663802327,97.4735452426233,100.999138922309,104.472261866218,107.390611491637,110.73266048917
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","ARE","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",593.172,668.574554625184,725.358368266291,785.111993028964,845.341175370394,907.204892982649,952.78114643577,1012.07725339457,1042.99511313176,1086.03295190641,1113.08018022559,1134.1448273181,1137.22452932423,1131.28588000742,1119.93848122359,1124.84499431624,1132.11232434826
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","ARG","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",786.9881,815.27262798096,884.545763140597,948.915171543012,1024.72482120264,1118.06218460994,1240.49561872103,1389.95803437624,1541.89600907434,1714.42651394109,1895.92467565449,2108.7514387191,2339.10761599197,2564.79452021171,2799.23492385016,3052.84202362838,3297.5875387535
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","ARM","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",36.2383,49.3026888294782,54.9001216076531,61.6786462642717,70.774609764228,79.5620287382778,87.7183333525304,95.8565495954524,102.916544865932,110.317470233859,117.434091818453,125.116852744616,132.045068543188,138.400338498032,144.608184941815,153.269662917787,162.826936133819
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","AUS","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",1191.0755,1257.03032474621,1350.51108803658,1505.64102863589,1694.00809061665,1914.98672122788,2148.1444008624,2394.88555760315,2619.31321768078,2866.48641576635,3115.45149822977,3365.09910100912,3630.91437055031,3889.49467946372,4153.95703358668,4400.43366778039,4626.48844534789
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","AUT","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",444.5636,454.425406198935,483.108406440176,503.304863649675,523.407030646704,550.320713454554,581.682525062517,612.800914426722,636.510238994486,664.500776816764,696.078357048465,731.307513335817,766.63243504708,794.228890261696,820.337505296892,841.263085413036,859.297818182887
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","AZE","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",133.9006,154.465488518213,155.024645600087,159.725785675037,174.781190764204,194.862480488607,219.208437300483,247.762065832065,275.403036798541,304.92125845088,336.25527908304,374.160316224202,412.978686023979,452.290889985174,491.777270549245,538.912759416409,587.977312653494
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BEL","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",539.0806,567.558857150411,594.684563433878,619.302530767768,640.847648907569,668.643764470153,702.961662678287,738.639184133155,767.487001503638,802.732359125868,841.937583044811,885.451664974448,930.308462813454,967.871482391208,1005.66994250909,1038.52111571649,1068.12174390703
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BEN","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",38.2478,47.5213299546944,59.1523126940284,77.5325134466308,103.27786191134,135.049854319919,171.340366447453,218.081721254252,275.195739305642,353.135923782487,433.810550132238,552.000066236893,671.209469834709,825.955991214247,982.798704720293,1177.10673522971,1376.29311187492
