Scenario,ISO,Country,Year,Technology,wacc_projection,Region,IncomeLevel
Below2,ARG,Argentina,2025,Wind_Onshore,0.281560892638457,Latin America and Caribbean,Upper middle income
Below2,ARG,Argentina,2030,Wind_Onshore,0.0324436781635005,Latin America and Caribbean,Upper middle income
Below2,ARG,Argentina,2035,Wind_Onshore,0.0251151334540582,Latin America and Caribbean,Upper middle income
Below2,ARG,Argentina,2040,Wind_Onshore,0.0277295992117119,Latin America and Caribbean,Upper middle income
Below2,ARG,Argentina,2045,Wind_Onshore,0.0286860490093315,Latin America and Caribbean,Upper middle income
Below2,ARG,Argentina,2050,Wind_Onshore,0.0288214365935745,Latin America and Caribbean,Upper middle income
Below2,AUS,Australia,2025,Wind_Onshore,0.0207612046908334,East Asia and Pacific,High income
Below2,AUS,Australia,2030,Wind_Onshore,0.0210125348104361,East Asia and Pacific,High income
Below2,AUS,Australia,2035,Wind_Onshore,0.0201280172481194,East Asia and Pacific,High income
Below2,AUS,Australia,2040,Wind_Onshore,0.0193096632977441,East Asia and Pacific,High income
Below2,AUS,Australia,2045,Wind_Onshore,0.0187198808155332,East Asia and Pacific,High income
Below2,AUS,Australia,2050,Wind_Onshore,0.0181431829137523,East Asia and Pacific,High income
Below2,AUT,Austria,2025,Wind_Onshore,0.0268024695649798,Europe and Central Asia,High income
Below2,AUT,Austria,2030,Wind_Onshore,0.0284532988872605,Europe and Central Asia,High income
Below2,AUT,Austria,2035,Wind_Onshore,0.0298638948123181,Europe and Central Asia,High income
Below2,AUT,Austria,2040,Wind_Onshore,0.0297494982721139,Europe and Central Asia,High income
Below2,AUT,Austria,2045,Wind_Onshore,0.0300186403026338,Europe and Central Asia,High income
Below2,AUT,Austria,2050,Wind_Onshore,0.0299307806767634,Europe and Central Asia,High income
Below2,BEL,Belgium,2025,Wind_Onshore,0.0262310998834582,Europe and Central Asia,High income
Below2,BEL,Belgium,2030,Wind_Onshore,0.0262260173744231,Europe and Central Asia,High income
Below2,BEL,Belgium,2035,Wind_Onshore,0.0266123654626957,Europe and Central Asia,High income
Below2,BEL,Belgium,2040,Wind_Onshore,0.027274290273249,Europe and Central Asia,High income
Below2,BEL,Belgium,2045,Wind_Onshore,0.0277540887307236,Europe and Central Asia,High income
Below2,BEL,Belgium,2050,Wind_Onshore,0.0280006896136335,Europe and Central Asia,High income
Below2,BGR,Bulgaria,2025,Wind_Onshore,0.0223383869508155,Europe and Central Asia,Upper middle income
Below2,BGR,Bulgaria,2030,Wind_Onshore,0.0198176803333025,Europe and Central Asia,Upper middle income
Below2,BGR,Bulgaria,2035,Wind_Onshore,0.0199059802105029,Europe and Central Asia,Upper middle income
Below2,BGR,Bulgaria,2040,Wind_Onshore,0.0198752802818126,Europe and Central Asia,Upper middle income
Below2,BGR,Bulgaria,2045,Wind_Onshore,0.021112765935031,Europe and Central Asia,Upper middle income
Below2,BGR,Bulgaria,2050,Wind_Onshore,0.0212027028170181,Europe and Central Asia,Upper middle income
Below2,BRA,Brazil,2025,Wind_Onshore,0.0254476285841691,Latin America and Caribbean,Upper middle income
Below2,BRA,Brazil,2030,Wind_Onshore,0.0249931085890632,Latin America and Caribbean,Upper middle income
Below2,BRA,Brazil,2035,Wind_Onshore,0.0238800759297893,Latin America and Caribbean,Upper middle income
Below2,BRA,Brazil,2040,Wind_Onshore,0.0223217960191653,Latin America and Caribbean,Upper middle income
Below2,BRA,Brazil,2045,Wind_Onshore,0.021350681663136,Latin America and Caribbean,Upper middle income
