ISO,year,inflation,gdp,interest_rate,unemployment,population
ABW,1960,,,,,54922.0
ABW,1961,,,,,55578.0
ABW,1962,,,,,56320.0
ABW,1963,,,,,57002.0
ABW,1964,,,,,57619.0
ABW,1965,,,,,58190.0
ABW,1966,,,,,58694.0
ABW,1967,,,,,58990.0
ABW,1968,,,,,59069.0
ABW,1969,,,,,59052.0
ABW,1970,,,,,58950.0
ABW,1971,,,,,58781.0
ABW,1972,,,,,58047.0
ABW,1973,,,,,58299.0
ABW,1974,,,,,58349.0
ABW,1975,,,,,58295.0
ABW,1976,,,,,58368.0
ABW,1977,,,,,58580.0
ABW,1978,,,,,58776.0
ABW,1979,,,,,59191.0
ABW,1980,,,,,59909.0
ABW,1981,,,,,60563.0
ABW,1982,,,,,61276.0
ABW,1983,,,,,62228.0
ABW,1984,,,,,62901.0
ABW,1985,,,,,61728.0
ABW,1986,,17354.4211506779,,,59931.0
ABW,1987,3.59197006652872,20407.620205072,6.47543427271753,,59159.0
ABW,1988,3.10843918798423,24143.1712840053,6.91818005864427,,59331.0
ABW,1989,3.96254301358969,26573.6479138613,6.26423401893797,,60443.0
ABW,1990,5.76986990784422,26609.3840748633,4.5666408556276,,62753.0
ABW,1991,5.61485982807162,27358.0217070709,4.79112520734837,,65896.0
ABW,1992,3.82233511678332,27662.2034052006,6.52813758772899,,69005.0
ABW,1993,5.30031405765243,27798.3553265013,5.03292510547116,,73685.0
ABW,1994,6.28797536126895,28563.2336087935,4.05692612365099,,77595.0
ABW,1995,3.37583749127457,28479.6452657341,6.98825052743605,,79805.0
ABW,1996,3.25948642303557,27701.0504117279,6.89090544941648,,83021.0
ABW,1997,3.70423775271973,28526.0975674511,6.31195251913281,,86301.0
ABW,1998,6.59295050184228,28387.1299566371,4.173555703149,,88451.0
ABW,1999,2.19006066092493,28351.3719022982,10.7168994077419,,89659.0
ABW,2000,1.03610080269524,30199.6612772816,10.9174500760991,,90588.0
ABW,2001,-2.83550241253081,31169.7969138989,15.885948876168,,91439.0
ABW,2002,4.43468813342022,30662.3217145204,6.57378500312943,,92074.0
ABW,2003,3.04904620110997,30651.9457560917,7.42457507462851,,93128.0
ABW,2004,2.80990970893053,32192.7919471291,6.60450953637949,,95138.0
ABW,2005,5.06749722968669,31249.2780373413,5.64637297616821,,97635.0
ABW,2006,3.48434619543613,31038.8898666583,5.81310509823675,,99405.0
ABW,2007,5.16689296887391,31759.8232024833,4.97600231726435,,100150.0
ABW,2008,4.26244900176589,32097.0402243555,5.9825479431511,,100917.0
ABW,2009,1.70328044813839,28157.1489891095,8.84604657019821,,101604.0
