Technology,Scenario,IncomeLevel,2025,2030,2050
Solar_PV,Below2,High income,0.1009,0.0997,0.0996
Solar_PV,Below2,Lower middle income,0.1232,0.1054,0.0952
Solar_PV,Below2,Upper middle income,0.136,0.1015,0.0973
Solar_PV,Delayed transition,High income,0.1006,0.0995,0.1001
Solar_PV,Delayed transition,Lower middle income,0.122,0.1041,0.0973
Solar_PV,Delayed transition,Upper middle income,0.1355,0.1007,0.0988
Solar_PV,NDC,High income,0.1008,0.0997,0.1002
Solar_PV,NDC,Lower middle income,0.1223,0.1043,0.0974
Solar_PV,NDC,Upper middle income,0.1356,0.1007,0.0983
Solar_PV,Netzero,High income,0.1009,0.0998,0.0996
Solar_PV,Netzero,Lower middle income,0.1235,0.1055,0.0948
Solar_PV,Netzero,Upper middle income,0.1361,0.1016,0.0975
Wind_Offshore,Below2,High income,0.0885,0.0873,0.0872
Wind_Offshore,Below2,Lower middle income,0.1108,0.093,0.0828
Wind_Offshore,Below2,Upper middle income,0.1236,0.0891,0.0849
Wind_Offshore,Delayed transition,High income,0.0882,0.0871,0.0877
Wind_Offshore,Delayed transition,Lower middle income,0.1096,0.0917,0.0849
Wind_Offshore,Delayed transition,Upper middle income,0.1231,0.0883,0.0864
Wind_Offshore,NDC,High income,0.0884,0.0873,0.0878
Wind_Offshore,NDC,Lower middle income,0.1099,0.0919,0.085
Wind_Offshore,NDC,Upper middle income,0.1232,0.0883,0.0859
Wind_Offshore,Netzero,High income,0.0885,0.0874,0.0872
Wind_Offshore,Netzero,Lower middle income,0.1111,0.0931,0.0824
Wind_Offshore,Netzero,Upper middle income,0.1237,0.0892,0.0851
Wind_Onshore,Below2,High income,0.0809,0.0797,0.0796
Wind_Onshore,Below2,Lower middle income,0.1032,0.0854,0.0752
Wind_Onshore,Below2,Upper middle income,0.116,0.0815,0.0773
Wind_Onshore,Delayed transition,High income,0.0806,0.0795,0.0801
Wind_Onshore,Delayed transition,Lower middle income,0.102,0.0841,0.0773
Wind_Onshore,Delayed transition,Upper middle income,0.1155,0.0807,0.0788
Wind_Onshore,NDC,High income,0.0808,0.0797,0.0802
Wind_Onshore,NDC,Lower middle income,0.1023,0.0843,0.0774
Wind_Onshore,NDC,Upper middle income,0.1156,0.0807,0.0783
Wind_Onshore,Netzero,High income,0.0809,0.0798,0.0796
Wind_Onshore,Netzero,Lower middle income,0.1035,0.0855,0.0748
Wind_Onshore,Netzero,Upper middle income,0.1161,0.0816,0.0775
