country,year,technology,wacc,ISO,inflation,gdp,unemployment,population,is_solar,is_wind_onshore,is_wind_offshore
Argentine Republic,2023,solar pv,0.4252549999999999,ARG,17.648461015196727,-0.6668334859064514,-0.33752868762790506,-0.28138594527525834,1,0,0
Argentine Republic,2020,wind onshore,0.093,ARG,4.929113376890814,-0.7447981194503598,0.6135902224969235,-0.28237116092203396,0,1,0
Commonwealth of Australia,2023,solar pv,0.05049,AUS,0.44783283777799415,1.7958555898401976,-0.7791323755118681,-0.33507647541116786,1,0,0
Commonwealth of Australia,2020,wind onshore,0.05459363,AUS,-0.16974124404667243,1.621160429816434,-0.2808761708091206,-0.33794792133061413,0,1,0
Commonwealth of Australia,2020,solar pv,0.0458333333333333,AUS,-0.16974124404667243,1.621160429816434,-0.2808761708091206,-0.33794792133061413,1,0,0
Republic of Austria,2014,wind onshore,0.065,AUT,-0.15355700257462873,0.8976022711327828,-0.420630959933062,-0.38658615986099976,0,1,0
Republic of Austria,2019,wind onshore,0.04385,AUT,-0.2247130955433389,1.0348694906076628,-0.6197189843372446,-0.3856375503862308,0,1,0
Republic of Austria,2018,wind onshore,0.0613666666666666,AUT,-0.1797555142014816,1.0045491963307518,-0.5530584519290218,-0.38574959564500105,0,1,0
Republic of Austria,2013,wind onshore,0.065,AUT,-0.19333871017341125,0.8982366825957079,-0.47549633111087536,-0.3867753704298405,0,1,0
Republic of Austria,2015,wind onshore,0.0625,AUT,-0.11539446707884479,0.901469289574004,-0.39775549572863184,-0.38631217381146304,0,1,0
Republic of Austria,2015,solar pv,0.04,AUT,-0.11539446707884479,0.901469289574004,-0.39775549572863184,-0.38631217381146304,1,0,0
Republic of Austria,2020,solar pv,0.0611,AUT,-0.07528212333647505,0.8768412337939242,-0.505162948750996,-0.3855324868049215,1,0,0
Republic of Tunisia,2023,solar pv,0.343475,TUN,0.7649479013379812,-1.1211307290970385,1.2650048086308956,-0.3761944804036355,1,0,0
People's Republic of Bangladesh,2023,solar pv,0.170225,BGD,0.49924176231242606,-1.2260750160874423,-0.6386627281315383,0.07673739138481633,1,0,0
Kingdom of Belgium,2014,wind onshore,0.055,BEL,-0.3092485069075315,0.7303076896007595,0.08852683317960919,-0.3790138097360562,0,1,0
Kingdom of Belgium,2019,wind onshore,0.0371666666666666,BEL,-0.17391408540899514,0.8554647764823622,-0.4760324748031667,-0.37821774778091194,0,1,0
Kingdom of Belgium,2019,wind offshore,0.03875,BEL,-0.17391408540899514,0.8554647764823622,-0.4760324748031667,-0.37821774778091194,0,0,1
Kingdom of Belgium,2013,wind onshore,0.055,BEL,-0.23288179567509115,0.7036809597206719,0.07101280589809242,-0.3791550074085337,0,1,0
Kingdom of Belgium,2015,wind onshore,0.054,BEL,-0.271679757203045,0.748525317094796,0.08119953605162754,-0.3788285635087146,0,1,0
