Scenario,ISO,Year,Technology,wacc_projection
Below2,ARG,2025,Wind_Onshore,3168797.2160759764
Below2,ARG,2030,Wind_Onshore,3250087.8701498834
Below2,ARG,2035,Wind_Onshore,3324621.842106614
Below2,ARG,2040,Wind_Onshore,3391142.071631476
Below2,ARG,2045,Wind_Onshore,3446674.7856500386
Below2,ARG,2050,Wind_Onshore,3490019.355672404
Below2,AUS,2025,Wind_Onshore,1849788.404758364
Below2,AUS,2030,Wind_Onshore,1937047.7451630922
Below2,AUS,2035,Wind_Onshore,2001376.5519587
Below2,AUS,2040,Wind_Onshore,2062233.0687570646
Below2,AUS,2045,Wind_Onshore,2122311.2144824765
Below2,AUS,2050,Wind_Onshore,2183412.0267863623
Below2,AUT,2025,Wind_Onshore,613330.7757493759
Below2,AUT,2030,Wind_Onshore,616821.837405439
Below2,AUT,2035,Wind_Onshore,620169.9129419401
Below2,AUT,2040,Wind_Onshore,622972.380940409
Below2,AUT,2045,Wind_Onshore,625931.5259297319
Below2,AUT,2050,Wind_Onshore,628563.1866787141
Below2,BEL,2025,Wind_Onshore,792911.9115222099
Below2,BEL,2030,Wind_Onshore,800174.4681584428
Below2,BEL,2035,Wind_Onshore,809032.9768971116
Below2,BEL,2040,Wind_Onshore,818464.4508528623
Below2,BEL,2045,Wind_Onshore,827970.7726716734
Below2,BEL,2050,Wind_Onshore,837279.1338746694
Below2,BGR,2025,Wind_Onshore,452843.3361198874
Below2,BGR,2030,Wind_Onshore,435158.5559828864
Below2,BGR,2035,Wind_Onshore,418987.9042729187
Below2,BGR,2040,Wind_Onshore,403833.52398762404
Below2,BGR,2045,Wind_Onshore,389797.6149832701
Below2,BGR,2050,Wind_Onshore,377043.82257068355
Below2,BRA,2025,Wind_Onshore,14972145.672473311
Below2,BRA,2030,Wind_Onshore,15293344.71229879
Below2,BRA,2035,Wind_Onshore,15522509.39050989
Below2,BRA,2040,Wind_Onshore,15659129.429593882
Below2,BRA,2045,Wind_Onshore,15705435.62818929
Below2,BRA,2050,Wind_Onshore,15662041.650655126
Below2,CAN,2025,Wind_Onshore,2690700.993699223
Below2,CAN,2030,Wind_Onshore,2773000.7030796404
Below2,CAN,2035,Wind_Onshore,2824928.8074631644
Below2,CAN,2040,Wind_Onshore,2872239.4677929017
Below2,CAN,2045,Wind_Onshore,2917094.3644807334
Below2,CAN,2050,Wind_Onshore,2963633.4181394586
Below2,CHE,2025,Wind_Onshore,606548.3935333396
Below2,CHE,2030,Wind_Onshore,615427.9198659933
Below2,CHE,2035,Wind_Onshore,625766.4623561602
Below2,CHE,2040,Wind_Onshore,635975.3818535681
Below2,CHE,2045,Wind_Onshore,647023.1084042524
Below2,CHE,2050,Wind_Onshore,659373.3204102077
Below2,CHL,2025,Wind_Onshore,1347517.1192570776
Below2,CHL,2030,Wind_Onshore,1372955.2099279482
Below2,CHL,2035,Wind_Onshore,1391709.2829105218
Below2,CHL,2040,Wind_Onshore,1402913.4968594639
Below2,CHL,2045,Wind_Onshore,1406840.605391192
Below2,CHL,2050,Wind_Onshore,1405154.5645158181
Below2,CHN,2025,Wind_Onshore,96254825.18073939
Below2,CHN,2030,Wind_Onshore,95680292.70028594
Below2,CHN,2035,Wind_Onshore,94502924.48340671
Below2,CHN,2040,Wind_Onshore,92937768.00962728
Below2,CHN,2045,Wind_Onshore,90884484.7674195
Below2,CHN,2050,Wind_Onshore,88228685.52597868
Below2,CZE,2025,Wind_Onshore,735799.0389464941
Below2,CZE,2030,Wind_Onshore,725670.8388135785
Below2,CZE,2035,Wind_Onshore,715365.2852023849
Below2,CZE,2040,Wind_Onshore,706328.2795165884
Below2,CZE,2045,Wind_Onshore,699753.1747348662
Below2,CZE,2050,Wind_Onshore,695053.460476513
Below2,DEU,2025,Wind_Onshore,5669104.008607645
Below2,DEU,2030,Wind_Onshore,5623646.776220714
Below2,DEU,2035,Wind_Onshore,5585649.533066543
Below2,DEU,2040,Wind_Onshore,5551518.162812325
Below2,DEU,2045,Wind_Onshore,5521886.056305224
Below2,DEU,2050,Wind_Onshore,5492102.865946818
Below2,DNK,2025,Wind_Onshore,400311.72673935135
Below2,DNK,2030,Wind_Onshore,404103.3343150152
Below2,DNK,2035,Wind_Onshore,407942.6323897355
Below2,DNK,2040,Wind_Onshore,411243.150662395
Below2,DNK,2045,Wind_Onshore,414516.21855134034
Below2,DNK,2050,Wind_Onshore,418566.6180658101
Below2,EGY,2025,Wind_Onshore,7991625.29039527
Below2,EGY,2030,Wind_Onshore,8646952.143029377
Below2,EGY,2035,Wind_Onshore,9331888.761230627
Below2,EGY,2040,Wind_Onshore,10026144.566025509
Below2,EGY,2045,Wind_Onshore,10695925.885303942
Below2,EGY,2050,Wind_Onshore,11311805.310582237
Below2,ESP,2025,Wind_Onshore,3227728.4312202
Below2,ESP,2030,Wind_Onshore,3239102.8823772743
Below2,ESP,2035,Wind_Onshore,3259062.179081378
Below2,ESP,2040,Wind_Onshore,3285308.6485956903
Below2,ESP,2045,Wind_Onshore,3316423.5656904825
Below2,ESP,2050,Wind_Onshore,3351411.513281004
Below2,EST,2025,Wind_Onshore,91386.92981281166
Below2,EST,2030,Wind_Onshore,88876.93361538883
Below2,EST,2035,Wind_Onshore,86728.52197965239
Below2,EST,2040,Wind_Onshore,84955.26491996429
Below2,EST,2045,Wind_Onshore,83543.47748104387
Below2,EST,2050,Wind_Onshore,82356.74279331627
Below2,FIN,2025,Wind_Onshore,375441.04463043675
Below2,FIN,2030,Wind_Onshore,373524.2075215413
Below2,FIN,2035,Wind_Onshore,372275.8098788288
Below2,FIN,2040,Wind_Onshore,371279.82640421763
Below2,FIN,2045,Wind_Onshore,370679.3194067837
Below2,FIN,2050,Wind_Onshore,371210.81071142294
Below2,FRA,2025,Wind_Onshore,4415143.251477603
Below2,FRA,2030,Wind_Onshore,4455685.037711185
Below2,FRA,2035,Wind_Onshore,4508189.117289786
Below2,FRA,2040,Wind_Onshore,4563018.529187379
Below2,FRA,2045,Wind_Onshore,4612131.508725487
Below2,FRA,2050,Wind_Onshore,4653959.600495378
Below2,GBR,2025,Wind_Onshore,4600432.960350234
Below2,GBR,2030,Wind_Onshore,4654736.090883915
Below2,GBR,2035,Wind_Onshore,4716369.436792536
Below2,GBR,2040,Wind_Onshore,4783191.692461398
Below2,GBR,2045,Wind_Onshore,4857800.122504783
Below2,GBR,2050,Wind_Onshore,4938844.836135324
Below2,GRC,2025,Wind_Onshore,702826.7658820972
