Scenario,ISO,Year,Technology,wacc_projection
Below2,ARG,2025,Wind_Onshore,0.28156089263845707
Below2,ARG,2030,Wind_Onshore,0.032443678163500515
Below2,ARG,2035,Wind_Onshore,0.025115133454058216
Below2,ARG,2040,Wind_Onshore,0.027729599211711933
Below2,ARG,2045,Wind_Onshore,0.028686049009331558
Below2,ARG,2050,Wind_Onshore,0.028821436593574525
Below2,AUS,2025,Wind_Onshore,0.02076120469083349
Below2,AUS,2030,Wind_Onshore,0.021012534810436117
Below2,AUS,2035,Wind_Onshore,0.02012801724811947
Below2,AUS,2040,Wind_Onshore,0.019309663297744153
Below2,AUS,2045,Wind_Onshore,0.01871988081553322
Below2,AUS,2050,Wind_Onshore,0.018143182913752373
Below2,AUT,2025,Wind_Onshore,0.026802469564979815
Below2,AUT,2030,Wind_Onshore,0.0284532988872605
Below2,AUT,2035,Wind_Onshore,0.029863894812318128
Below2,AUT,2040,Wind_Onshore,0.029749498272113938
Below2,AUT,2045,Wind_Onshore,0.030018640302633876
Below2,AUT,2050,Wind_Onshore,0.029930780676763472
Below2,BEL,2025,Wind_Onshore,0.02623109988345822
Below2,BEL,2030,Wind_Onshore,0.026226017374423163
Below2,BEL,2035,Wind_Onshore,0.0266123654626957
Below2,BEL,2040,Wind_Onshore,0.027274290273249093
Below2,BEL,2045,Wind_Onshore,0.027754088730723665
Below2,BEL,2050,Wind_Onshore,0.028000689613633552
Below2,BGR,2025,Wind_Onshore,0.02233838695081551
Below2,BGR,2030,Wind_Onshore,0.019817680333302598
Below2,BGR,2035,Wind_Onshore,0.019905980210502928
Below2,BGR,2040,Wind_Onshore,0.019875280281812617
Below2,BGR,2045,Wind_Onshore,0.02111276593503103
Below2,BGR,2050,Wind_Onshore,0.02120270281701818
Below2,BRA,2025,Wind_Onshore,0.025447628584169144
Below2,BRA,2030,Wind_Onshore,0.02499310858906325
Below2,BRA,2035,Wind_Onshore,0.023880075929789357
Below2,BRA,2040,Wind_Onshore,0.02232179601916538
Below2,BRA,2045,Wind_Onshore,0.021350681663136
Below2,BRA,2050,Wind_Onshore,0.01920261291020467
Below2,CAN,2025,Wind_Onshore,0.02707091695786642
Below2,CAN,2030,Wind_Onshore,0.025123975769586797
Below2,CAN,2035,Wind_Onshore,0.023291234364573494
Below2,CAN,2040,Wind_Onshore,0.022279912864723035
Below2,CAN,2045,Wind_Onshore,0.02198441550792757
Below2,CAN,2050,Wind_Onshore,0.020995152227407745
Below2,CHE,2025,Wind_Onshore,0.011690215612615741
Below2,CHE,2030,Wind_Onshore,0.010605858079533887
Below2,CHE,2035,Wind_Onshore,0.010815757065780507
Below2,CHE,2040,Wind_Onshore,0.011858702708922298
Below2,CHE,2045,Wind_Onshore,0.012447427699689088
Below2,CHE,2050,Wind_Onshore,0.01229568127933921
Below2,CHL,2025,Wind_Onshore,0.03208722531602246
Below2,CHL,2030,Wind_Onshore,0.02820785048670228
Below2,CHL,2035,Wind_Onshore,0.026683082997871272
Below2,CHL,2040,Wind_Onshore,0.027131282851651516
Below2,CHL,2045,Wind_Onshore,0.028035960416483357
Below2,CHL,2050,Wind_Onshore,0.027301662741265963
Below2,CHN,2025,Wind_Onshore,-0.04663417912503362
Below2,CHN,2030,Wind_Onshore,-0.05826048090198041
Below2,CHN,2035,Wind_Onshore,-0.07068636168967053
Below2,CHN,2040,Wind_Onshore,-0.08128920428946118
Below2,CHN,2045,Wind_Onshore,-0.09243227155527456
Below2,CHN,2050,Wind_Onshore,-0.10255888382228287
Below2,CZE,2025,Wind_Onshore,0.02051797608379543
Below2,CZE,2030,Wind_Onshore,0.02380519787802429
Below2,CZE,2035,Wind_Onshore,0.02274176287684701
Below2,CZE,2040,Wind_Onshore,0.022563868799665626
Below2,CZE,2045,Wind_Onshore,0.02288369700751832
Below2,CZE,2050,Wind_Onshore,0.02236426993276104
Below2,DEU,2025,Wind_Onshore,0.008567499678033597
Below2,DEU,2030,Wind_Onshore,0.007883930552678348
Below2,DEU,2035,Wind_Onshore,0.007385672583541074
Below2,DEU,2040,Wind_Onshore,0.006760265758681725
Below2,DEU,2045,Wind_Onshore,0.006243817456182615
Below2,DEU,2050,Wind_Onshore,0.005804929530345535
Below2,DNK,2025,Wind_Onshore,0.02715341909008463
Below2,DNK,2030,Wind_Onshore,0.02939131106573345
Below2,DNK,2035,Wind_Onshore,0.03014719245358977
Below2,DNK,2040,Wind_Onshore,0.030423566382833334
