Scenario,ISO,Country,Year,Technology,wacc_projection,Region,IncomeLevel
Below2,ARG,Argentina,2025,Wind_Onshore,0.3572107153757143,Latin America and Caribbean,Upper middle income
Below2,ARG,Argentina,2030,Wind_Onshore,0.0801604518036758,Latin America and Caribbean,Upper middle income
Below2,ARG,Argentina,2035,Wind_Onshore,0.0752182748923914,Latin America and Caribbean,Upper middle income
Below2,ARG,Argentina,2040,Wind_Onshore,0.0802555763027677,Latin America and Caribbean,Upper middle income
Below2,ARG,Argentina,2045,Wind_Onshore,0.0822666616186069,Latin America and Caribbean,Upper middle income
Below2,ARG,Argentina,2050,Wind_Onshore,0.0829183176198563,Latin America and Caribbean,Upper middle income
Below2,AUS,Australia,2025,Wind_Onshore,0.0810645724959805,East Asia and Pacific,High income
Below2,AUS,Australia,2030,Wind_Onshore,0.0807035292570394,East Asia and Pacific,High income
Below2,AUS,Australia,2035,Wind_Onshore,0.0800859031098153,East Asia and Pacific,High income
Below2,AUS,Australia,2040,Wind_Onshore,0.0793862758320655,East Asia and Pacific,High income
Below2,AUS,Australia,2045,Wind_Onshore,0.0789986915443282,East Asia and Pacific,High income
Below2,AUS,Australia,2050,Wind_Onshore,0.0786094131562505,East Asia and Pacific,High income
Below2,AUT,Austria,2025,Wind_Onshore,0.0837448792688969,Europe and Central Asia,High income
Below2,AUT,Austria,2030,Wind_Onshore,0.0837010539860876,Europe and Central Asia,High income
Below2,AUT,Austria,2035,Wind_Onshore,0.0845744687831143,Europe and Central Asia,High income
Below2,AUT,Austria,2040,Wind_Onshore,0.0841828555534918,Europe and Central Asia,High income
Below2,AUT,Austria,2045,Wind_Onshore,0.0844510998793553,Europe and Central Asia,High income
Below2,AUT,Austria,2050,Wind_Onshore,0.0843951153541316,Europe and Central Asia,High income
Below2,BEL,Belgium,2025,Wind_Onshore,0.0823561211587629,Europe and Central Asia,High income
Below2,BEL,Belgium,2030,Wind_Onshore,0.0821370091629831,Europe and Central Asia,High income
Below2,BEL,Belgium,2035,Wind_Onshore,0.0825454992038958,Europe and Central Asia,High income
Below2,BEL,Belgium,2040,Wind_Onshore,0.0829136360085862,Europe and Central Asia,High income
Below2,BEL,Belgium,2045,Wind_Onshore,0.0832130843110205,Europe and Central Asia,High income
Below2,BEL,Belgium,2050,Wind_Onshore,0.0831405309977669,Europe and Central Asia,High income
Below2,BGR,Bulgaria,2025,Wind_Onshore,0.081832270563003,Europe and Central Asia,Upper middle income
Below2,BGR,Bulgaria,2030,Wind_Onshore,0.0784918537977132,Europe and Central Asia,Upper middle income
Below2,BGR,Bulgaria,2035,Wind_Onshore,0.0790092526892545,Europe and Central Asia,Upper middle income
Below2,BGR,Bulgaria,2040,Wind_Onshore,0.0794148910601256,Europe and Central Asia,Upper middle income
Below2,BGR,Bulgaria,2045,Wind_Onshore,0.0804954738127302,Europe and Central Asia,Upper middle income
Below2,BGR,Bulgaria,2050,Wind_Onshore,0.0805030728830068,Europe and Central Asia,Upper middle income
Below2,BRA,Brazil,2025,Wind_Onshore,0.0867681453666632,Latin America and Caribbean,Upper middle income
Below2,BRA,Brazil,2030,Wind_Onshore,0.0869350426273767,Latin America and Caribbean,Upper middle income
Below2,BRA,Brazil,2035,Wind_Onshore,0.0868611714297516,Latin America and Caribbean,Upper middle income
Below2,BRA,Brazil,2040,Wind_Onshore,0.0865791340449824,Latin America and Caribbean,Upper middle income
Below2,BRA,Brazil,2045,Wind_Onshore,0.0867504312560869,Latin America and Caribbean,Upper middle income
Below2,BRA,Brazil,2050,Wind_Onshore,0.0855220338612476,Latin America and Caribbean,Upper middle income
Below2,CAN,Canada,2025,Wind_Onshore,0.082929291214244,North America,High income
Below2,CAN,Canada,2030,Wind_Onshore,0.0811337097596212,North America,High income
Below2,CAN,Canada,2035,Wind_Onshore,0.0793884998218965,North America,High income
