Scenario,ISO,Year,Technology,wacc_projection
Below2,ARG,2025,Wind_Onshore,0.3442199799406191
Below2,ARG,2030,Wind_Onshore,0.0663152268086828
Below2,ARG,2035,Wind_Onshore,0.0614954406557545
Below2,ARG,2040,Wind_Onshore,0.0667131193948109
Below2,ARG,2045,Wind_Onshore,0.0689311428639059
Below2,ARG,2050,Wind_Onshore,0.0698544430913352
Below2,AUS,2025,Wind_Onshore,0.0687578609674093
Below2,AUS,2030,Wind_Onshore,0.0685719591054125
Below2,AUS,2035,Wind_Onshore,0.0682877226335194
Below2,AUS,2040,Wind_Onshore,0.0679986601207781
Below2,AUS,2045,Wind_Onshore,0.068099074335896
Below2,AUS,2050,Wind_Onshore,0.0682254980931347
Below2,AUT,2025,Wind_Onshore,0.0700705817985429
Below2,AUT,2030,Wind_Onshore,0.0700791048230007
Below2,AUT,2035,Wind_Onshore,0.0709964143473585
Below2,AUT,2040,Wind_Onshore,0.0706471014508033
Below2,AUT,2045,Wind_Onshore,0.0709772731085792
Below2,AUT,2050,Wind_Onshore,0.0709930035450228
Below2,BEL,2025,Wind_Onshore,0.0688599869437299
Below2,BEL,2030,Wind_Onshore,0.0686985698166059
Below2,BEL,2035,Wind_Onshore,0.0691617888223255
Below2,BEL,2040,Wind_Onshore,0.0695748313341558
Below2,BEL,2045,Wind_Onshore,0.0699343006188353
Below2,BEL,2050,Wind_Onshore,0.0699349019671403
Below2,BGR,2025,Wind_Onshore,0.0675905015218468
Below2,BGR,2030,Wind_Onshore,0.0642843090956175
Below2,BGR,2035,Wind_Onshore,0.0648497419661396
Below2,BGR,2040,Wind_Onshore,0.065294923384539
Below2,BGR,2045,Wind_Onshore,0.0664134247438149
Below2,BGR,2050,Wind_Onshore,0.066458972172093
Below2,BRA,2025,Wind_Onshore,0.0735073241714095
Below2,BRA,2030,Wind_Onshore,0.0737581382238769
Below2,BRA,2035,Wind_Onshore,0.0742556484059105
Below2,BRA,2040,Wind_Onshore,0.0749279727709963
Below2,BRA,2045,Wind_Onshore,0.0763795366280937
Below2,BRA,2050,Wind_Onshore,0.0767616239189442
Below2,CAN,2025,Wind_Onshore,0.0714245937333351
